titles,category
미스터 장어 손질후 장어를 뒤집어서 껍질쪽을 칼날로 긁어준다 장어비린내 온상 기름기가 적지않게 많이나온다 꼭제거 물로 한번 씻어준다 키친다올 로 물기를 확실하게 제거한다 팬에 사이즈에 맞추어 적당한 크기로 자른다 처음엔 약한불로 가열하고 뒤집개로 적당히 눌러가며 구워야지만 장어가 많이 오그라 들지 않는다 불에 올릴땐 껍질쪽부터 익혀준후 다시 뒤집어 익혀준다 불끄고 꺼낸다음 소스 바르고 다시 약불로 구워준다 데우는 느낌에 약불로 마지막으로 장어를 두툼하게 썰은후 먹는다 개인적으로 바싹익힌걸 좋아해서 시간이 많이 걸립니다 아주 맛있는 장어 자주 쿠팡 미스터 장어를 주문해서 먹고있어요 전엔 파주까지 가서 먹고 오곤 했는데 집에서 편하게 주문해 먹을수 있어 아주 좋아요 요즘 자꾸만 기운이 딸리는 느낌이 나고 피곤해서 장어먹고 기운 좀 차려 볼라구요 싱싱한 장어와 뼈 추가 한것까지 보내주시니 감사드려요 탕은 머리도 넣으면 좋다 하시내요 감사합니다 복많이 받으시고 번창 하시길 기원합니다,Five
한줄요약 안녕하세요 강장어입니다 장어를 좋아하는데 식당에서 먹으면 배불리 안 먹어도 만원은 나오더라구요 넘 가격이 부담이라 자주 먹지 못하다가 요즘 장어가 땡겨 쿠팡에서 후기가 제일 많고 별점도 좋은 미스터장어 찜해놓고만 있다가 고민한지 한 달만에 드디어 첫 구매를 해봤습니다 빠르게 보는 포인트 내돈내산 구입 배송빠름 밤에 시키고 다음날 배송시작 후 이틀 뒤 수령 너무 싱싱하고 두툼하고 비린내 하나도 안남 대만족 치킨 한마리 값으로 혼자 배터지게 장어 먹을 수 있음 재구매의사 무조건 있음 제품 미스터 장어 후기 를 시켜볼까하다가 혼자 먼저 먹어보고 맛있으면 다같이 먹으려고 하나 먼저 주문해봤구요 여자 혼자 먹었는데 양이 많아서 인분처럼 느껴졌어요 저는 점 남아서 그건 다음날 먹었어요 남자분이시면 혼자드시기 딱 좋으실거같아요 저는 너무 만족해서 이번에 재주문하려고합니다 사실 해산물은 인터넷으로 시키기 겁나서 한달을 고민했는데 고민한 시간이 아까울정도로 너무 만족스럽네요 너무너무 강추라서 부모님 집으로도 시켜드리려구요 대만족입니다 만족스러운 점 정말 두툼하고 싱싱한 장어 굽기 전에도 두툼했는데 구워도 살 대박 두껍고 맛있음 생강부터 굵은소금 소스도 순한맛 매운맛 다 챙겨줘서 좋음 빠른배송 및 신선도 굿 맛있음 비린내 하나도 안나고 잡내 단 하나도 없음 치킨 한마리 값으로 여자 혼자 배터지게 장어먹었음 아쉬운 점 작은 가시 단 두개 정도 발견한게 유일한 아쉬운 점이네요 입으로 빼고 먹었고 딱히 불만은 없었습니다 이거말고는 없어요 꼭 알아둘 것 껍질부분부터 먼저 구울 것 살부분에 동봉된 굵은 소름을 뿌릴 것 물에 절대 씻지말고 키친타올로 한번 톡톡하기 양념 소스는 다 구운 후 넣기 제 후기가 작은 도움이 되었다면 도움돼요를 눌러주세요 도움돼요가 정말 큰 기쁨이 됩니당 오늘도 좋은하루 되세요,Five
미스터 장어 손질후 장어를 뒤집어서 껍질쪽을 칼날로 긁어준다 장어비린내 온상 기름기가 적지않게 많이나온다 꼭제거 물로 한번 씻어준다 키친다올 로 물기를 확실하게 제거한다 팬에 사이즈에 맞추어 적당한 크기로 자른다 처음엔 약한불로 가열하고 뒤집개로 적당히 눌러가며 구워야지만 장어가 많이 오그라 들지 않는다 불에 올릴땐 껍질쪽부터 익혀준후 다시 뒤집어 익혀준다 불끄고 꺼낸다음 소스 바르고 다시 약불로 구워준다 데우는 느낌에 약불로 마지막으로 장어를 두툼하게 썰은후 먹는다 개인적으로 바싹익힌걸 좋아해서 시간이 많이 걸립니다 아주 맛있는 장어 자주 쿠팡 미스터 장어를 주문해서 먹고있어요 전엔 파주까지 가서 먹고 오곤 했는데 집에서 편하게 주문해 먹을수 있어 아주 좋아요 요즘 자꾸만 기운이 딸리는 느낌이 나고 피곤해서 장어먹고 기운 좀 차려 볼라구요 싱싱한 장어와 뼈 추가 한것까지 보내주시니 감사드려요 탕은 머리도 넣으면 좋다 하시내요 감사합니다 복많이 받으시고 번창 하시길 기원합니다,Five
한줄요약 안녕하세요 강장어입니다 장어를 좋아하는데 식당에서 먹으면 배불리 안 먹어도 만원은 나오더라구요 넘 가격이 부담이라 자주 먹지 못하다가 요즘 장어가 땡겨 쿠팡에서 후기가 제일 많고 별점도 좋은 미스터장어 찜해놓고만 있다가 고민한지 한 달만에 드디어 첫 구매를 해봤습니다 빠르게 보는 포인트 내돈내산 구입 배송빠름 밤에 시키고 다음날 배송시작 후 이틀 뒤 수령 너무 싱싱하고 두툼하고 비린내 하나도 안남 대만족 치킨 한마리 값으로 혼자 배터지게 장어 먹을 수 있음 재구매의사 무조건 있음 제품 미스터 장어 후기 를 시켜볼까하다가 혼자 먼저 먹어보고 맛있으면 다같이 먹으려고 하나 먼저 주문해봤구요 여자 혼자 먹었는데 양이 많아서 인분처럼 느껴졌어요 저는 점 남아서 그건 다음날 먹었어요 남자분이시면 혼자드시기 딱 좋으실거같아요 저는 너무 만족해서 이번에 재주문하려고합니다 사실 해산물은 인터넷으로 시키기 겁나서 한달을 고민했는데 고민한 시간이 아까울정도로 너무 만족스럽네요 너무너무 강추라서 부모님 집으로도 시켜드리려구요 대만족입니다 만족스러운 점 정말 두툼하고 싱싱한 장어 굽기 전에도 두툼했는데 구워도 살 대박 두껍고 맛있음 생강부터 굵은소금 소스도 순한맛 매운맛 다 챙겨줘서 좋음 빠른배송 및 신선도 굿 맛있음 비린내 하나도 안나고 잡내 단 하나도 없음 치킨 한마리 값으로 여자 혼자 배터지게 장어먹었음 아쉬운 점 작은 가시 단 두개 정도 발견한게 유일한 아쉬운 점이네요 입으로 빼고 먹었고 딱히 불만은 없었습니다 이거말고는 없어요 꼭 알아둘 것 껍질부분부터 먼저 구울 것 살부분에 동봉된 굵은 소름을 뿌릴 것 물에 절대 씻지말고 키친타올로 한번 톡톡하기 양념 소스는 다 구운 후 넣기 제 후기가 작은 도움이 되었다면 도움돼요를 눌러주세요 도움돼요가 정말 큰 기쁨이 됩니당 오늘도 좋은하루 되세요,Five
내돈 내산 리뷰 작성합니다 미스터장어 민물장어 처음으로 구매하였습니다 워낙 장어를 좋아하다보니 장어집에서 장어만 구매하고 자리에 않아 자리세 내고 술값등등 먹다보면 취해서 비용이 상당히 나오는데요 이번에 미스터장어를 시켜 연휴에 먹었습니다 저도 이곳에 나온 여러 리뷰를 보고 구매했는데요 복불복이다 생각하고 생물이고 집에 숯불이 없는 관계로 주문해서 맛있게 잘 먹었습니다 주문일 월 일 도착일 월 일 오후 시경 받음 택배회사 우체국택배 제품상태 포장이 잘 되어있고 아이스팩이 많이 녹지 않았음 받자마자 냉장실 직행 신선해 보였음 저녁에 먹으려 손질을 하려는데 생각보다 점액질이 생각보다 많았음 처음엔 비닐장갑끼고 벗기려 했더니 잘 안되어 맨손으로 하다 그것도 안되어 작은칼 과도 로 등쪽을 쭉쭉 밀어보니 생각보다 많은 점액질이 나와 열심히 벗기고 벗기고 하였음 그리고 후기를 읽어보니 물로 세척하지 말라 하여 최대한 칼로 점액질을 벗기고 키친타월로 마무리 하여 가위로 반토막 내어 우선 초벌을 시작하였는데 초벌로 후라이펜에 중불로 등이 바닥으로 가게하여 살이 있는 쪽에 같이 보내준 굵은 소금을 뿌리고 굽기 시작 집안에 장어 연기와 냄새로 장어냄새가 장난이 아니더군요 냄새 빼느라 한참 애먹음 사진에서 보시듯이 한참 구워봤습니다 그리고 가위로 먹기 좋은 크기로 잘라 에어프라이로 직행 도로 예열 분 내용물 종이호일에 보이게 세워서 분 돌리고 위치 바꾸어 분 돌리고 식탁에 소주 한잔과 장어 그리고 동봉해 주신 소스류 종류 기본 순한맛 매운것 와 생강채와 곁들여 싸먹으니 식당에서 먹는것과 차이가 없네요 술안주에 제격이었네요 싱싱하게 와서 좋았고 제가 조금은 귀찬니즘이 있어 직접손질하고 굽고 하는 과정이 재미있었고 맛도 좋았습니다 실제 정도 맞춘것 같아 양도 제법이었고 번 나누어 한마리씩 구워 맛있게 잘 먹었습니다 담에도 구매의사 입니다 이상 내돈내산 개인적인 의견이었습니다 구매하시는데 도움이 되셨다면 도움이 돼요 꾹 해주세요,Five
부모님댁에 가서 구워 먹으려고 장어 여기저기 품질 좋은 걸로 찾아봤습니다 상품평도 좋고 설명도 잘 되어 있으며 믿음직스럽길래 주문 인 기준 마리면 충분 할 것 같아 주문 했고요 배부르게 먹었습니다 배송 우체국 택배로 안전하게 도착했고 날이 더워서 그런지 안에 아이스팩이 녹았지만 스티로폼 박스안은 시원했어요 습기가 차서 그런지 우체국 으로 추정 에서 비닐로 감싸신 듯 물이 샐 건 없어서 아이스팩이 녹으면서 습기가 생긴 것 같아요 잘 닦으니 말끔했습니다 상품 딱 보기에도 신선해 보였어요 크기도 큰 편이고요 마트에서 구매하는 마리 들어있는 상품들과 크기나 두께등 확연히 달랐고요 마릿수 많으면 자잘해서 먹을 게 없으니 최대한 마릿수 적게 든 걸로 주문했습니다 숯불에 굽는 도중에도 장어 실하니 좋다고 하며 구웠고요 따로 세척하지 않아도 깨끗했습니다 중량을 맞춰야 해서 그런 지 팩에는 조각이 들어있었어요 좀 아쉬운 부분이지만 무게를 최대한 맞추려고 하신 것 같아 크게 거슬리진 않았습니다 무게를 재보니 표기된 에 딱 맞춘 것 같더라고요 맛 숯불향이라는 걸 무시할 수 없기 때문에 저는 숯을 피워서 마리는 소금 마리는 양념 각각 구웠고요 그냥 먹어도 맛있겠지만 확실히 맛나더라고요 신선해서 그냥 구워 먹어도 부들부들하고 고소하고 잡내나 비린맛 도 없이 만족스러웠습니다 비가와서 외부에서 구워 거실로 옮겨 먹었는데 식어도 기름지지 않고 그대로 맛있었고 부모님이 정말 맛있게 잘 드셨어요 뿌듯 총평 음식점에 가서나 먹지 생물로 장어를구매해 본 적이 없어서 비교할 수는 없지만 만족스러운 첫 구매였습니다 가격 너무 저렴하거나 같은 중량 인데 손질한 중량이 적거나 이나 뭐 그런 그런 곳은 패스했고요 다른 분들 평도 많으면서 좋고 그런 곳 찾다보니 여기에서 구매한 건데 굿 기본으로 당 양념 가지 초생강 개 세트 주시는 것 같고 추가 요청하면 한개씩 더 넣어주시는 듯 해요 저는 키로 주문하고 세트 추가요청 세트 해서 총 세트 받았습니다 저도 만족스러웠지만 부모님이 진짜 맛나게 잘 드셔서 강추합니다,Five
휴향림에 쉬러가면서 몸에도 좋고 야외에서 구워먹기도 좋을듯 하여 미스터장어를 재구매 했는데요 쿠팡와우 회원이라 무료배송 되어서 좋으네요 주문 담날 바로 배송되었고 아주 싱싱한 상태의 장어가 도착했네요 미스터장어는 종 자포니카 민물장어로 주문즉시 손질 아이스박스에 담아 바로 배송되어서 생물 그대로 온답니다 킬로 주문에 장어 큰거 두 마리와 순한맛 매운맛 소스에 생강채 개 소금이 들어있네요 비닐째로 저울에 올려봤더니 이네요 키로 손질 내외라고 적혀있는데 이왕이면 에 맞추어 주시면 더 기분좋을듯하네요 장어는 씻으면 안된답니다 살이 물러진다고 합니다 받은 다음날 구워먹었는데 점액질 같은게 있으면 칼로 살살긁어서 굽거나 키친타올로 한번 닦고 구우면 되는데 이번엔 점액질 같은게 많이 나오네요 싱싱하긴 한거 같은데 이런일이 처음이라 뭣땜에 그럴까요 냄새에 예민하지만 흙냄새 이런거는 전혀 느낄수 없었으며 노릇하게 구우니 겉은바삭 속은촉촉 고소하네요 씻은 묵은지나 깻잎 장아찌에 생강채 넣어서 싸먹기도하고 버섯이랑 같이구워서 상추쌈 싸먹기도 하고 술안주로도 좋았답니다 장어 덕분에 몸보신 제대로했네요 뼈와 머리도 보내달라고 부탁했더니 넉넉히 보내주셨네요 장어뼈탕 끓이기 장어뼈는 물에 좀 담궈서 헹군후 소주한잔 통후추 생강등을 넣고 분정도 끓인후 헹구고 다시 푹 분정도 삶은후 갈아서 체에 받친 뽀얀국물에 시레기에 된장과 고추가루 마늘 넣고 조물조물해서 끓이다 마지막에 들깨가루나 콩가루넣고 파와 깻잎 송송 썰어놓고 산초가루 조금넣고 한소큼 끓여보세요 뼈만 넣어서 끓여도 식당서 파는 장어탕보다 훨 맛있답니다 장어가 남으면 후라이팬에 앞뒤 노릇하게 구워서 동봉된 매운양념 소스에 고추장 좀 더 추가해서 매실액이나 물엿 조금넣고 참기름과 깨 넣은후 볶아보세요 아주 훌륭하고 근사한 요리가 된답니다 이번에 키로 시켜서 다먹었는데 다음에 좀더 넉넉히 시켜서 만들어 먹을려구요 미스터장어는 한번도 실망 한적 없이 항상 싱싱하고 통통한걸 보내주시니 넘 믿음이가서 구매는 여기서만 하게 되네요 장어 키로로 장어구이 실컷먹고 장어탕 끓여서 국걱정도 안해도 되고 외식비 절반도 안되는 가격에 가성비 짱이네요 적극추천드리며 내돈 내산으로 지극히 개인적인 견해이지만 구매하시는데 도움이 되고자 후기올려봅니다 좋은하루되세요,Five
여름에 캠핑 갔을때나 시골 옥상에서 한동안 자주 구워 먹곤 했었는데 몇개월 잊고 있다가 기력이 없어서 뭘 먹어볼까 생각하다 아 하 미스터 장어가 있었지 급주문 하게 되었네요 쿠팡와우 회원이라 무료배송 되어서 좋으네요 주문 담날 바로 배송되었고 아주 싱싱한 상태의 장어가 도착했네요 미스터장어는 종 자포니카 민물장어로 주문즉시 손질 아이스박스에 담아 바로 배송되어서 생물 그대로 온답니다 킬로 주문에 장어 큰거 두 마리와 순한맛 매운맛 소스에 생강채 개 소금이 들어있네요 장어는 씻으면 안된답니다 살이 물러진다고 합니다 깨끗하게 손질되어 왔네요 점액질 같은게 있으면 칼로 살살긁어서 굽거나 키친타올로 한번 닦고 구우면 되는데 깨끗해서 가운데 한번만 키친타올로 꾹 누르고 구웠답니다 동봉된 소금 솔솔 뿌려서 구워놓으니 싱싱해서 그런가 장어 자체만으로 겉은바삭 속은 촉촉한게 넘 고소하고 맛나네요 냄새에 예민하지만 흙냄새 이런거는 전혀 느낄수 없었으며 소스 찍어서도 먹고 씻은 묵은지나 깻잎 장아찌에 생강채 넣어서 싸서도 먹고 푹 익은 파김치 불판에 올려서 같이 구워서두 먹고 키로 명이서 진짜 푸짐하게 잘먹었네요 장어 덕분에 몸보신 제대로했네요 뼈와 머리도 보내달라고 부탁했더니 넉넉히 보내주셨네요 장어뼈탕 끓이기 장어뼈는 물에 좀 담궈서 헹군후 소주한잔 통후추 생강등을 넣고 분정도 끓인후 헹구고 다시 푹 분정도 삶은후 갈아서 체에 받친 뽀얀국물에 시레기에 된장과 고추가루 마늘 넣고 조물조물해서 끓이다 마지막에 들깨가루나 콩가루넣고 파와 깻잎 송송 썰어놓고 산초가루 조금넣고 한소큼 끓여보세요 뼈만 넣어서 끓여도 식당서 파는 장어탕보다 훨 맛있답니다 장어가 남으면 후라이팬에 앞뒤 노릇하게 구워서 동봉된 매운양념 소스에 고추장 좀 더 추가해서 매실액이나 물엿 조금넣고 참기름과 깨 넣은후 볶아보세요 아주 훌륭하고 근사한 요리가 된답니다 이번에 키로 시켜서 다먹었는데 다음에 좀더 넉넉히 시켜서 만들어 먹을려구요 여기가 진정 맛집이죠 미스터장어는 한번도 실망 한적 없이 항상 싱싱하고 통통한걸 보내주시니 넘 믿음이가서 구매는 여기서만 하게 되네요 장어 키로로 장어구이 실컷먹고 장어탕 끓여서 국걱정도 안해도 되고 외식비 절반도 안되는 가격에 가성비 짱이네요 아쉬운점은 쿠팡에는 추가구매 란이 없어서 생강채나 소스를 배송메모란에 더 부탁하곤 하는데 항상 죄송해서 네 처럼 추가 구매란이 있으면 좋겠네요 적극추천드리며 내돈 내산으로 지극히 개인적인 견해이지만 구매하시는데 도움이 되고자 후기올려봅니다 좋은하루되세요,Five
구매동기 뭔가 속이 허하고 기력이 없을때 한번씩 장어를 먹으러 가곤 했었는데 외식비가 만만찮게 들잖아요 가계부담이 되어서 온라인구매를 하게되었네요 몇군데 시켜 먹어보았지만 만족을 못하다가 미스터장어를 먹고난후 항상 이제품만 구매한답니다 배송 생물 로 주문즉시 손질하여 담날 배송 아이스박스에 얼음팩넣어서 오니 넘넘 싱싱하네요 먹기편하게 손질해서 와서 저희는 바로 구워먹는답니다 구성 키로당 소스 순한맛 매운맛 개 초생강 생강채 천일염소금 이 기본이고 뼈와머리 보내달래서 우거지나 시래기넣고 장어탕 끓여 보세요 진짜진하고 맛있어요 보약 먹는느낌 품질 최고급 종 자포니카 장어 키로 두마리 주문했더니 엄청커서 구웠을때 살도 통통하고 고소하며 냄새에 예민하지만 흙냄새 는 도 안나네요 가격 저희는 키로 시켜서 명정도 충분히 먹네요 외식비 비교하면 가성비 짱입니다 결론 진심 별 다섯개 이번에 가족 명 모임이 있어서 넉넉히 키로 시켜 갔는데 키로가 남았으며 담날 아침 장어탕에 남은 장어 후라이팬에 구워서 양념장섞어서 조림을 했더니 반찬으로도 인기 짱이였답니다 키로로 두끼해결 다들 맛있게 잘먹었다고 칭찬받았네요 앞으로 가족모임땐 무조건 장어를 메뉴에 넣자고 하네요,Five
처음 구매했어요 그동안 다른 곳애서 구매하다가 요기 리뷰들이 좋길래 구매했는데 큰 사이즈 두마리가 턱하니 빠르게 왔네요 무앗보다 우체국택배라서 좋았어요 일단 점액질 제거를 하는데 그냥 맨손으로 했더니 손에 들러붙어서 잘 안떨어지더라구요 그래서 대충 하고 물로 여러번 세척했습니다 칼로 자르니 잘 안잘라져서 가위로 슝슝 잘랐는데 살들이 도톰하니 가위질도 힘들더라구요 지느러미랑 뼈가 잘 제거되어 있어서 너무 깔끔하네 좋았구여 아이스팩도 큰거 하나 작은거 하나 개 들었는데 큰거랑 작은거 모두 얼음이 조금씩 덜 녹운 상태로 와서 장어가 싱싱한 상태로 도착을 했네요 다만 제가 에어프라이기에 돌릴 때 시간을 너무 돌려서 좀 딱딱해져 버리고 기름이 다 빠져서 홀쭉이가 되어버렸는데 다른 분들은 잘 살펴보시면서 구워드시길 바랍니다 저는 도에 앞면 분이나 돌려버렸거든요 대신 비린내는 싹 가신거 같아요 매운맛 못먹어서 순한맛 양념에 찍어 생강과 같이 그리고 맥주 한캔 마셔줬더니 비릿하고 느끼한 맛 없이 꿀떡꿀떡 넘어갑니다 다음에도 기력 보충 할 때 구매하러 오겠습니다,Five
