titles,category
알탕을 좋아하는데 곤이만 좋아하면 아들 때문에 따로 구매했어요 일반 알탕 모듬팩을 사면 아이가 안먹는 다른 알도 많아서 아깝게 버리게 되더라고요 따로 곤이만 살 수 있어 좋고요 크기도 크고 식감도 괜찮습니다 저도 아들덕분에 시원한 비알콜 음료랑 맛있게 먹었습니다 원하는 재료만 따로 주문할 수 있으니 버리는 양 확 줄어서 좋아요,Four
안녕하세요 추울때 먹는 알탕 재료인 곤이 사실은 이리 입니다 대부분 다들 곤이라고 알고 계신데요 곤이는 원래는 생선 알을 의미하는 거라서 우리가 흔히 먹는 명태알이라고 보면 되고요 이 뇌처럼 생긴 이 제품은 이리라고 불러야 되는게 맞습니다 그리고 이리는 명태 수컷의 정소입니다 사실 모르고 먹어도 상관없죠 맛만 있으면 되니까요 어째든 날씨가 추워지면 알탕이 생각나고 알탕하면 곤이 이리 가 꼭 들어가야죠 그리고 대구 곤이도 있는데 대구 곤이는 주로 찜을 할때 많이 사용한다고 하네요 탕을 할 때는 명태이리가 작고 국물도 진하게 낼 수 있어 주로 탕을 할 때는 명태 이리를 주로 사용한다고 합니다 맛 이 제품은 맛있습니다 우선 알탕을 했을 때 국물을 잘 우려내더라고요 위에서 언급했던것처럼 진한 국물을 낼때 명태이리가 좋다고 말씀드린것처럼 넣고 끓이니 국물이 고소하고 신선한 맛이 났습니다 신선함 제가 받은 제품은 신선했습니다 아무래도 생선의 내장은 신선함이 제일 중요한데 쿠팡 프레쉬는 확실히 신선하고 빠르게 제품을 배송해준거 같더라고요 양 저희는 네 식구라 한번 알탕 끓이는 양으로 적당했습니다 사람 숫자마다 다르겠지만 네 식구가 한끼 알탕으로 먹기에는 적절한 양이 없습니다 요즘 많이 추운데 고소한 명태 이리 넣고 끓인 깔깔한 알탕 드시면서 추위를 이겨내시길 바래요 추천해요,Four
맛 만족도 보통이에요,Four
알탕좋아해서 자주끓이는데 이게 참 매진이 쉽게되서 구매하려고 할때마다 자주 매진이더라구요 그래서 있을때 개구매했네요 오늘 곤이는 너무 짜잘짜잘 지난번 부드러운곤이랑 다르네요 지난번에는 부드럽고 굵은 곤이였는데 전그게 더 나았네요,Four
알탕을 좋아하는데 곤이만 좋아하면 아들 때문에 따로 구매했어요 일반 알탕 모듬팩을 사면 아이가 안먹는 다른 알도 많아서 아깝게 버리게 되더라고요 따로 곤이만 살 수 있어 좋고요 크기도 크고 식감도 괜찮습니다 저도 아들덕분에 시원한 비알콜 음료랑 맛있게 먹었습니다 원하는 재료만 따로 주문할 수 있으니 버리는 양 확 줄어서 좋아요,Four
안녕하세요 추울때 먹는 알탕 재료인 곤이 사실은 이리 입니다 대부분 다들 곤이라고 알고 계신데요 곤이는 원래는 생선 알을 의미하는 거라서 우리가 흔히 먹는 명태알이라고 보면 되고요 이 뇌처럼 생긴 이 제품은 이리라고 불러야 되는게 맞습니다 그리고 이리는 명태 수컷의 정소입니다 사실 모르고 먹어도 상관없죠 맛만 있으면 되니까요 어째든 날씨가 추워지면 알탕이 생각나고 알탕하면 곤이 이리 가 꼭 들어가야죠 그리고 대구 곤이도 있는데 대구 곤이는 주로 찜을 할때 많이 사용한다고 하네요 탕을 할 때는 명태이리가 작고 국물도 진하게 낼 수 있어 주로 탕을 할 때는 명태 이리를 주로 사용한다고 합니다 맛 이 제품은 맛있습니다 우선 알탕을 했을 때 국물을 잘 우려내더라고요 위에서 언급했던것처럼 진한 국물을 낼때 명태이리가 좋다고 말씀드린것처럼 넣고 끓이니 국물이 고소하고 신선한 맛이 났습니다 신선함 제가 받은 제품은 신선했습니다 아무래도 생선의 내장은 신선함이 제일 중요한데 쿠팡 프레쉬는 확실히 신선하고 빠르게 제품을 배송해준거 같더라고요 양 저희는 네 식구라 한번 알탕 끓이는 양으로 적당했습니다 사람 숫자마다 다르겠지만 네 식구가 한끼 알탕으로 먹기에는 적절한 양이 없습니다 요즘 많이 추운데 고소한 명태 이리 넣고 끓인 깔깔한 알탕 드시면서 추위를 이겨내시길 바래요 추천해요,Four
맛 만족도 보통이에요,Four
알탕좋아해서 자주끓이는데 이게 참 매진이 쉽게되서 구매하려고 할때마다 자주 매진이더라구요 그래서 있을때 개구매했네요 오늘 곤이는 너무 짜잘짜잘 지난번 부드러운곤이랑 다르네요 지난번에는 부드럽고 굵은 곤이였는데 전그게 더 나았네요,Four
맛 만족도 괜찮아요,Four
밀키트에 들어있는 양이 감질날게 뻔해서 구매했습니다 아주 탁월한 선택이었어요 저는 메뉴에 들어있는 메인 재료가 푸짐한 걸 선호하는 편이라서 따로 구매해서 먹었어요 들어있는 곤이는 생각보다 덜 탱탱했어요 그래도 식감을 어느정도 기대하게 되는데 식감이 뭐랄까 되게 순두부에 가까웠달까 그리고 밀키트에 들어있던 알들보다 훨씬 비렸습니다 모르고 그냥 세척해서 먹었는데 알았더라면 밀가루로 한 번 조졌을 것 같아요,Four
맛 만족도 예상보다 맛있어요,Four
