titles,category
아니 부모님드리려고 만원들여서 보내드렸는데 사진보시면 이건 대체 뭐 어떻게 보낸지 모르겠습니다 한마리 한마리 반이라고 문의시 답변주셨는데 저게 어떻게 한마리 반인지 저럴거면 그냥 한마리를 크게 넣어 주시던지요 여기서 시킨거 처음도 아니고 자주 보내드렸는데 부모님께서 이번에 이상하다 하셔서 사진 받았더니 저렇게 보내셨네요 주변에 여기 좋다고 다 홍보했다가 부끄러워서 얼굴을 들수가 없네요 장어가 평소자주먹는얘들도 아니구요 큰돈들여 드시라고 보내드렸는데 이게 뭔지 안보내니만 못하네요,One
어제 년 월 일 저녁에퇴근하고 집에도착하니 장어택배박스가 도착했더군요 무더위에 기운좀 내려고 주문했던차라 밥상차리고 구울준비세팅하고 박스를 개봉해보니 얼음팩 개는 다녹아있고 비닐압축포장된 큰장어 두마리안에는 허연물과찐득한것이 일단개봉하니 상한냄새가 진동을하고있었구요 먹어야하니 일단 물에다 씻었지만 좀물컹하고 냄새가 좀덜나길래 구우면 괜찮겠지 싶어서 바로 구워봤어요 상한걸 보내시지는 않았겠지 싶어서요 굽는과정에서 상한비린내가 올라오고 고소한장어구이향이 아닌 상한고기냄새가 집안을 하지만 너무배가 고픈지라 달리 먹을것도 없어서 일단 구워서 입에넣는데 물컹한생선맛과 냄새 참으며 먹었어요 다시반품할수도 없었구요 문제는 글을적고있는 이시간도 그상한냄새와 맛이 속에서 올라와요 다시는 절대 안시키고 싶네요 쿠팡실망입니다 다른분들도 조심하세요 후유증이 심합니다,One
댓글평가 좋고해서 소비자로써 신중히보고 부자가 판매하고 믿고 구매했는데 형편없습니다 장어가 상햇나 무태는 살짝 물컹하고 자포는 쫄깃한식 인데 보내온건 임연수 뭔지 다들아시죠 푸석하고 맛도없고 먹다가 잘못될거같아 젓가락들었다 포기 진짜 개짜증 환불 바랍니다 소송걸고 싶네 짜증나게,One
아니 부모님드리려고 만원들여서 보내드렸는데 사진보시면 이건 대체 뭐 어떻게 보낸지 모르겠습니다 한마리 한마리 반이라고 문의시 답변주셨는데 저게 어떻게 한마리 반인지 저럴거면 그냥 한마리를 크게 넣어 주시던지요 여기서 시킨거 처음도 아니고 자주 보내드렸는데 부모님께서 이번에 이상하다 하셔서 사진 받았더니 저렇게 보내셨네요 주변에 여기 좋다고 다 홍보했다가 부끄러워서 얼굴을 들수가 없네요 장어가 평소자주먹는얘들도 아니구요 큰돈들여 드시라고 보내드렸는데 이게 뭔지 안보내니만 못하네요,One
어제 년 월 일 저녁에퇴근하고 집에도착하니 장어택배박스가 도착했더군요 무더위에 기운좀 내려고 주문했던차라 밥상차리고 구울준비세팅하고 박스를 개봉해보니 얼음팩 개는 다녹아있고 비닐압축포장된 큰장어 두마리안에는 허연물과찐득한것이 일단개봉하니 상한냄새가 진동을하고있었구요 먹어야하니 일단 물에다 씻었지만 좀물컹하고 냄새가 좀덜나길래 구우면 괜찮겠지 싶어서 바로 구워봤어요 상한걸 보내시지는 않았겠지 싶어서요 굽는과정에서 상한비린내가 올라오고 고소한장어구이향이 아닌 상한고기냄새가 집안을 하지만 너무배가 고픈지라 달리 먹을것도 없어서 일단 구워서 입에넣는데 물컹한생선맛과 냄새 참으며 먹었어요 다시반품할수도 없었구요 문제는 글을적고있는 이시간도 그상한냄새와 맛이 속에서 올라와요 다시는 절대 안시키고 싶네요 쿠팡실망입니다 다른분들도 조심하세요 후유증이 심합니다,One
댓글평가 좋고해서 소비자로써 신중히보고 부자가 판매하고 믿고 구매했는데 형편없습니다 장어가 상햇나 무태는 살짝 물컹하고 자포는 쫄깃한식 인데 보내온건 임연수 뭔지 다들아시죠 푸석하고 맛도없고 먹다가 잘못될거같아 젓가락들었다 포기 진짜 개짜증 환불 바랍니다 소송걸고 싶네 짜증나게,One
세번째 주문했는데 번째 주문시 마리 중량 이였는데 이번 은 가벼워서 중량 재봤데니 나오네요 마리 조각 맛은 있는데 중량 좀 실망이네요 담에는 근접하게 보내주세요,One
와 이게 뭔지 전 장어 메니아입니다 전 이런장어는 첨 맛보는 맛이에요 혹시나 실패할까봐 주문했어요 것도 아주 만족하시는 분들에 찬사에 잔가시가 장난 아니고 질기고 질겨서 뭔 고무같아요 이렇게 좋은 평은 어디서 나오는건지 믿어도 돼는건지 전 장어를 엄청좋아해서 혼자 마리도 먹곤하는데 첨 먹고 그냥 버렸습니다 사진을 찍었어야 하는데 화가나서 그냥 갈아버리고 말았네요 이건 아니죠,One
저가 장어 아님 죽은지 하참된 장어 아님 몰까요 바다장어랑 식감도 비슷하고 구울 때도 흐물흐물 살이 다 부셔짐 총 마리중 마리만 제대로된 민물 장어입니다 왠만하면 다릇곳에서 사세요 민물장어는 쫀득한맛에 먹은겁니다 흐물흐물 하고 부셔지는 장어는 값싼 바다장어지요,One
와씨 한마리는 진짜 맛있게 먹었고 한마리는 기름만 있는 맛없는 장어였어요 장어 좋아해서 많이 먹는데 다른 싸구려장어를 끼워파는군요 소비자 기만하지 마세요 네이버에서부터 맛있게 먹어서 구매했는데 기분 더러워요 다시 살일 없네요,One
예전에 시켜서 믿고시켰는데 쿠팡에서 저렴하게 해서그런가 품질이 완전다르네요 손질도 대충해서 뼈도있고 핏기도 그대로고 구웠더니 껍질이랑살분리되고 저번에 시켰었던게 맞나싶을정도로 별로네요,One
맛있게 먹긴 먹었는데 다시 사먹을일은 없을거 같다시면서 별로였던거 같아용 집이 다 장어 킬러인데 이집 장어는 별로였던거 같네용,One
인간적으로 이곳은가시가 너무많습니다 가시를 제대로 제거하시는지 신경좀 쓰세요,One
글귀 가 교묘해서 정확히 다읽어보고 주문하시기들바람니다 아님 후회함,One
비해서 허벅 허벅하고 너무 맛이없어서 폐기하였음,One
어우 시켜서 비늘 벗겨내고 구워먹었는데 너무 심하게 비려요,One
냄새나고 별로였어요 살도 구우면서 부서지구요,One
장어가 돼지 기름 씹는 맛이 납니다,One
어머니때문에 한달에 몇번정도 주문하는데 오늘은 최악이네요 구웠는데 죽같은 식감이고 먹기 힘드네요 일주일전에 반정도가 안좋으니 신경써달라고 전화했는데 정말 실망스럽네요,One
