titles,category
속았습니다 포항을 운운하면서 정작 대만산이라니 양은 어차피 혼자 먹을거라 적은 편은 아닌데 기름기가 너무 많은데다 비린내도 엄청 심하네요 그리고 사진상에 나오는 쌈배추는 대체 어디 있단거죠 그냥 큰 배추를 대충 잘라서 담았나본데 제가 주문한 이유중엔 노란 쌈배추도 한몫한건데 실제 물건 상태는 완전 딴판입니다 게다가 포항시 인증이니 구룡포니 거짓광고 하지마세요,One
과메기가 먹고 싶어 포항인증 어쩌고 써 있고 광고 사진 그럴듯 하길래 주문햇죠 도착 후 꺼내보니 얇은 과메기 반으로 잘라 놓은거 조각이 들어있네요 꽁치 반으로 가른거 두마리 반 분량이네요 두마리 반 총 양 그램 등심보다 더 비싸 그리고 과메기 주문했는데 조미김 넣어 주는 곳은 생전 처음 봤네요 고추 개 마늘 쪼금 결론적으로 먹은 후에 물 설사만 일곱 번을 했습니다 진짜 마음 같아서는 환불 처리 하고 싶은데 잘 먹고 잘 사세요 오늘 후기 쓰려다가 미리 후기 올리신 분들 글 보니 저처럼 이거 드시고 설사 했다는 분이 많이 보이네요 아 미리 후기 읽었으면 이런 일이 없었을 텐데 사람 먹는 식품 가지고 장난치지 마시구요 진공 포장을 언제 해놨는지 포장 진공포장 일자를 명시 해 뇌야 하는거 아닌가요 유통기한도 따로 없고 장 세척 하시고 싶은 분은 사드시길 강추합니다,One
월 일에 시켜서 일에 도착했습니다 포장 일자는 월 일이라고 적혀있더군요 포장은 잘 되어있었구요 외관은 괜찮았습니다 우선 다시마 사진첨부한것처럼 변질이 되어서 녹아내리는 상태였습니다 먹을수도없고 아주 역한 냄새도 심하더군요 바로 버렸습니다 배추 그냥 쪼개서 넣은것같았습니다 제가 씻어서 먹으려했지만 다시마 냄새가 배었는지 이상한 냄새가 나더군요 조금 먹다가 버렸습니다 제일 중요한 과메기 진공포장도 잘 되어있고 과메기도 겨울철이면 여러번 사서먹었지만 이렇게 비린내가 심한건 처음이었습니다 포장되어있는것들중 멀쩡한것은 마늘과 고추 초장 김 뿐이더군요 하핫 부모님과 함께 먹으려고 구매를 했는데 정말 최악이었습니다 전부 냄새가 심했기에 깊은 풍미가 있었다고 하렵니다 다시는 사먹지않으려합니다,One
아니 어떨때는 야채가 신선하게오고 오떨때는 바로 야채가 사진처럼오는게아니고 다 진물러져서 변질된 마늘이오면 어떻게 깉이 믿고 먹으라는 말씀인지요 마늘 물에 말려다 치더라도 검정건 골라내야지 손질이라 표기된거하고 많이다르내요 비싼갑지불하면서 제가골라 먹어야하나요,One
속았습니다 포항을 운운하면서 정작 대만산이라니 양은 어차피 혼자 먹을거라 적은 편은 아닌데 기름기가 너무 많은데다 비린내도 엄청 심하네요 그리고 사진상에 나오는 쌈배추는 대체 어디 있단거죠 그냥 큰 배추를 대충 잘라서 담았나본데 제가 주문한 이유중엔 노란 쌈배추도 한몫한건데 실제 물건 상태는 완전 딴판입니다 게다가 포항시 인증이니 구룡포니 거짓광고 하지마세요,One
과메기가 먹고 싶어 포항인증 어쩌고 써 있고 광고 사진 그럴듯 하길래 주문햇죠 도착 후 꺼내보니 얇은 과메기 반으로 잘라 놓은거 조각이 들어있네요 꽁치 반으로 가른거 두마리 반 분량이네요 두마리 반 총 양 그램 등심보다 더 비싸 그리고 과메기 주문했는데 조미김 넣어 주는 곳은 생전 처음 봤네요 고추 개 마늘 쪼금 결론적으로 먹은 후에 물 설사만 일곱 번을 했습니다 진짜 마음 같아서는 환불 처리 하고 싶은데 잘 먹고 잘 사세요 오늘 후기 쓰려다가 미리 후기 올리신 분들 글 보니 저처럼 이거 드시고 설사 했다는 분이 많이 보이네요 아 미리 후기 읽었으면 이런 일이 없었을 텐데 사람 먹는 식품 가지고 장난치지 마시구요 진공 포장을 언제 해놨는지 포장 진공포장 일자를 명시 해 뇌야 하는거 아닌가요 유통기한도 따로 없고 장 세척 하시고 싶은 분은 사드시길 강추합니다,One
월 일에 시켜서 일에 도착했습니다 포장 일자는 월 일이라고 적혀있더군요 포장은 잘 되어있었구요 외관은 괜찮았습니다 우선 다시마 사진첨부한것처럼 변질이 되어서 녹아내리는 상태였습니다 먹을수도없고 아주 역한 냄새도 심하더군요 바로 버렸습니다 배추 그냥 쪼개서 넣은것같았습니다 제가 씻어서 먹으려했지만 다시마 냄새가 배었는지 이상한 냄새가 나더군요 조금 먹다가 버렸습니다 제일 중요한 과메기 진공포장도 잘 되어있고 과메기도 겨울철이면 여러번 사서먹었지만 이렇게 비린내가 심한건 처음이었습니다 포장되어있는것들중 멀쩡한것은 마늘과 고추 초장 김 뿐이더군요 하핫 부모님과 함께 먹으려고 구매를 했는데 정말 최악이었습니다 전부 냄새가 심했기에 깊은 풍미가 있었다고 하렵니다 다시는 사먹지않으려합니다,One
아니 어떨때는 야채가 신선하게오고 오떨때는 바로 야채가 사진처럼오는게아니고 다 진물러져서 변질된 마늘이오면 어떻게 깉이 믿고 먹으라는 말씀인지요 마늘 물에 말려다 치더라도 검정건 골라내야지 손질이라 표기된거하고 많이다르내요 비싼갑지불하면서 제가골라 먹어야하나요,One
가격대비 너무 별로 컬리에서 시켜먹다 품절이라 함 시켜봤는데 같은 가격에 너무 차이가 많이 나네요 포장상태며 구성이며 받고보니 그냥 기분나쁨 포장도 종이띠로 한번 두른거라 그냥 오픈된 상태나 마찬가지고 다시마도 녹듯이 흐물 당장 반품하고 싶지만 식품이라 그냥 먹고 다신 안시킬거같아요 사진은 컬리와 비교샷입니다 둘이 같은 가격이네요,One
신선도 신선하지 않아요,One
