titles,category
봉지에 든 굴은 사고보면 아주 싱싱한 게 없었던 거 같다 그나 어쩌겠나 이번에 온 굴도 역시 다르지 않다 신선하지 않아 퍼져 보이고 흐물흐물하다 물을 받아 굵은 천일염을 서너스푼 넣어 잘 녹여준다 굴봉지를 우선 칼이나 가위끝으로 톡쳐서 구멍을 뚫고 그다음 봉지를 잘라준다 무심코 잘랐다 물벼락 여러 번 맞고보니 이젠 굴봉지 오픈하는 게 엄청 조심스럽다 소금물에 굴을 쏟아 붓고 손으로 휘이 두차례 저어 준 뒤 여 분간 놔 둔다 좀있다 들여다 보면 엄청 지저분해 보이는 불순물이 엄청 많이 떠있는 걸 본다 세상에 소금물에 이걸 안하고 그냥 먹었음 암튼 좀 살균이 되었길 바란다 건져내어 대충 샤워를 시키고 나서 하나씩 일일이 손의 촉감으로 굴껍질 있나 를 확인하며 다시 깨끗이 씻어준다 굴은 혹시나 붙어있는 굴껍질로 인해 입안을 다칠 우려가 있으니 유독 신경써서 잘 세척해야만 한다 소금물에 담그어야만 살균소독 엄청 중요 도 되고 굴이 탱글해지기도 한다 아 근데 이 굴은 많이 늘어져 있다 깨끗이 손질해서 잠시라도 냉동실에 넣어 놓았다 떡국을 끓일려고 한거니 좀 덜 싱싱한 건 전부치기에 사용하면 그나마 나을 거 같단 생각을 하는데 이건 국에 넣으려 하니 굴이 신선하지 않아 모양이 예쁘지 않은 게 신경이 많이 쓰임 그렇게 떡국을 끓여봤는데 굴맛이 예상했던 대로 그리 훌륭하진 않다 굴향도 진하지 않고 역시 모든재료는 신선했을 때 최고의 맛을 낼 수 있는 거 같다 특히 해산물은 더 그런 거 같다 지하암반수에 씻든 소금물에 씻든 우선은 신선해야지 그게 제일이다 담번 구매엔 좀 더 생각해 봐야겠다,One
아 꼭 익혀서 드세요 중굴 사이즈가 대부분이고 터져있는굴이 좀 많습니다 왔을 때부터 보존수가 좀 탁한편이었는데 설마했는데 역시 굴이 탱글한 면이 도없고 그냥 풀어진 굴이 대부분이었어요 조리 후에도 비린맛 퍼지는 맛 입니다 개나 샀는데 어찌이런답니까 가격도 꽤 주고샀는데 배신이네요 미역국 끓이고 전 해먹었는데 계속 부글 거리는 내 아랫배 맙소사 화장실 계속 가고싶네요,One
씻어도 씻어도 불순물에 주부생활 년차에 저런빨강줄 굴은 처음보네요 이거 대체 첨보는 색이라 먹어도 되는걸까요 아 후기보고 산건데 이 추운날씨에 얼음팩까지 온건데 온도에 상한것 같지는 않고 굴자체 상품문제인듯 합니다 문의글에 월에서 월에 나타날수 있다고 했는데 지금은 월입니다 그리고 색도 어쩜저리 꺼무잡잡하고 전체적으로 노란겁니까,One
맛 만족도 예상보다 맛 없어요,One
봉지에 든 굴은 사고보면 아주 싱싱한 게 없었던 거 같다 그나 어쩌겠나 이번에 온 굴도 역시 다르지 않다 신선하지 않아 퍼져 보이고 흐물흐물하다 물을 받아 굵은 천일염을 서너스푼 넣어 잘 녹여준다 굴봉지를 우선 칼이나 가위끝으로 톡쳐서 구멍을 뚫고 그다음 봉지를 잘라준다 무심코 잘랐다 물벼락 여러 번 맞고보니 이젠 굴봉지 오픈하는 게 엄청 조심스럽다 소금물에 굴을 쏟아 붓고 손으로 휘이 두차례 저어 준 뒤 여 분간 놔 둔다 좀있다 들여다 보면 엄청 지저분해 보이는 불순물이 엄청 많이 떠있는 걸 본다 세상에 소금물에 이걸 안하고 그냥 먹었음 암튼 좀 살균이 되었길 바란다 건져내어 대충 샤워를 시키고 나서 하나씩 일일이 손의 촉감으로 굴껍질 있나 를 확인하며 다시 깨끗이 씻어준다 굴은 혹시나 붙어있는 굴껍질로 인해 입안을 다칠 우려가 있으니 유독 신경써서 잘 세척해야만 한다 소금물에 담그어야만 살균소독 엄청 중요 도 되고 굴이 탱글해지기도 한다 아 근데 이 굴은 많이 늘어져 있다 깨끗이 손질해서 잠시라도 냉동실에 넣어 놓았다 떡국을 끓일려고 한거니 좀 덜 싱싱한 건 전부치기에 사용하면 그나마 나을 거 같단 생각을 하는데 이건 국에 넣으려 하니 굴이 신선하지 않아 모양이 예쁘지 않은 게 신경이 많이 쓰임 그렇게 떡국을 끓여봤는데 굴맛이 예상했던 대로 그리 훌륭하진 않다 굴향도 진하지 않고 역시 모든재료는 신선했을 때 최고의 맛을 낼 수 있는 거 같다 특히 해산물은 더 그런 거 같다 지하암반수에 씻든 소금물에 씻든 우선은 신선해야지 그게 제일이다 담번 구매엔 좀 더 생각해 봐야겠다,One
아 꼭 익혀서 드세요 중굴 사이즈가 대부분이고 터져있는굴이 좀 많습니다 왔을 때부터 보존수가 좀 탁한편이었는데 설마했는데 역시 굴이 탱글한 면이 도없고 그냥 풀어진 굴이 대부분이었어요 조리 후에도 비린맛 퍼지는 맛 입니다 개나 샀는데 어찌이런답니까 가격도 꽤 주고샀는데 배신이네요 미역국 끓이고 전 해먹었는데 계속 부글 거리는 내 아랫배 맙소사 화장실 계속 가고싶네요,One
씻어도 씻어도 불순물에 주부생활 년차에 저런빨강줄 굴은 처음보네요 이거 대체 첨보는 색이라 먹어도 되는걸까요 아 후기보고 산건데 이 추운날씨에 얼음팩까지 온건데 온도에 상한것 같지는 않고 굴자체 상품문제인듯 합니다 문의글에 월에서 월에 나타날수 있다고 했는데 지금은 월입니다 그리고 색도 어쩜저리 꺼무잡잡하고 전체적으로 노란겁니까,One
맛 만족도 예상보다 맛 없어요,One
배송된 날 오후에 반은 생굴로 반은 굴전을 해서 먹었는데 먹은 식구들은 다 아펐어요 먹는 양에 비례해서 정도의 차이만 있을뿐 어른은 살짝 배앓이만하고 말았지만 아이들은 일째 병원에서 입원치료중이에요 검사결과 노로바이러스라고 하네요 아이들 키우신 분이라면 한번 고민해보고 구입하세요 저는 이제 여기서 굴 구입하는 일은 절대 없을것 같아요 생굴을 좋아하는 살 아이는 밤새 토하고 설사에 난리도 아니였어요 천일염 소금물에 한개씩 번 씻었는데도 저랑 같은 시기에 배송받은 분들은 괜찮으신지 모르겠어요,One
생굴매년 마트에서 봉지굴로도 구입해서 많이먹습니다 시배송받고 시에뜯자마자 해산물특유의 비린내가 진동했습니다 굴 많이먹어봤지만 이런심한비린내는처음입니다 좀씻으면나으려나 소금물로씻었더니 불순물이 많이나오네요 혹시나하나먹어봤는데 씹을때마다 역한비린내 일단씻어서 냉장고넣었 는데 냉장고안도 온통비린내진동 살다살다 제철굴에서 이런 비린내는 처음맡아봅니다 불안해서 안먹고있어요 이굴먹고 탈났다는분들 꽤있네요,One
