titles,category
맛 만족도 예상보다 맛 없어요,One
저희엄마가마트에서냉동절단꽃게로양념게장해주셔서맛있게먹었는데 똑같은양념에다른게 후기엄청보고주문했는데 비려여 하루숙성하고한입먹었는데비리니 동생이 이건급냉이아니야 라고하더군여,One
쿠팡리뷰보고 구매하는데 가짜가 맘 은건지 싱싱하지 않구요 다리속은 아예 비어있어요 남편이 바닷가에서 살던 사람이라 딱 보면 아는데 사진상으로는 좋아보여도 그렇지 않아요 맛자체가 냉동보다 싱싱한 생물울 사서 드세요 비추천입니다,One
맛 만족도 예상보다 맛 없어요,One
맛 만족도 예상보다 맛 없어요,One
저희엄마가마트에서냉동절단꽃게로양념게장해주셔서맛있게먹었는데 똑같은양념에다른게 후기엄청보고주문했는데 비려여 하루숙성하고한입먹었는데비리니 동생이 이건급냉이아니야 라고하더군여,One
쿠팡리뷰보고 구매하는데 가짜가 맘 은건지 싱싱하지 않구요 다리속은 아예 비어있어요 남편이 바닷가에서 살던 사람이라 딱 보면 아는데 사진상으로는 좋아보여도 그렇지 않아요 맛자체가 냉동보다 싱싱한 생물울 사서 드세요 비추천입니다,One
맛 만족도 예상보다 맛 없어요,One
원래 상품평 안쓰는데 이런 게 처음 먹어봐요 된장찌개를 끓였는데 게 특유의 단맛이 아예 없습니다 짠맛만 다만 깨끗하게 손질되어 있는 편이며 게껍질은 연하네요 구매 시 참고하세요,One
맛 만족도 생각보다 별로에요,One
여러번주문해먹고 믿고 구매한건데 가격도 많이 올리셔놓고 중량은 게다리로 채우시고 실망 다른데꺼로 갈아타야겠네요,One
이건 살도없고 크기가 너무 작아 절인데도 큰거 절 반 만큼도 안되네요 큰게 손가락 두개입니다,One
먹을 게 없습니다 국내 어획금지체장 아닌가요 지금 보니 베스트순 후기를 봤네요 완전 비추 별 개 이해가 안됩니다,One
맛 만족도 예상보다 맛 없어요,One
맛 만족도 괜찮아요,One
맛 만족도 예상보다 맛 없어요,One
살은 차 있으나 몇년 냉동고에 있었나봐요 게맛이 하나도 안나고 북어맛이 납니다,One
