titles,category
집에서 장어 구이 먹을려고 주문했는데 그냥 그래요 두께도 얇고 보내준 소스에 생강 양도 너무 작어요 담다 만듯 중간중간 가신지 뭐가 좀 나오네요 저렴한 가격이지만 장어는 식당가서 먹는게 먹는게 좋을 것 같네요 전 두번 주문은 안할것 같아요,Three
지난번에는 큰사이즈라 재구매했는데 이번은 작은 덩어리 여러개로 나뉘어져 있어 실망했네요,Three
집에서 장어 구이 먹을려고 주문했는데 그냥 그래요 두께도 얇고 보내준 소스에 생강 양도 너무 작어요 담다 만듯 중간중간 가신지 뭐가 좀 나오네요 저렴한 가격이지만 장어는 식당가서 먹는게 먹는게 좋을 것 같네요 전 두번 주문은 안할것 같아요,Three
지난번에는 큰사이즈라 재구매했는데 이번은 작은 덩어리 여러개로 나뉘어져 있어 실망했네요,Three
장어가 보기에는 싱싱하니 좋았어요 근데 구워 먹는데 너무 힘이 없어요 타 제품 먹을때는 탱탱하니 고소 했는데 이번 장어는 꼭 바다장어 먹는거 같아요 비린내가 많이 나고 맛있는 맛을 모르겠더라구요 상품평이 좋다고 해서 구매했는데 저한테는 안 맞더라구요 암튼 수고 하셨어요,Three
이게 그동안 잘못된것들만 먹어서 인지 자포니아 이건 좀 다른 건지 살은 그닥 많은거 같지 않고 꺼집부분이 좀 두터운 느낌이라 젤리를 씹는듯한 식감이 매우 컸습니다 확실히 살집의 느낌보다는 젤리같은 느낌이 많이 나서 별로였어요 키로나 시켜서 키로 먼저 먹고 나머지는 어쩌나 싶네요 그냥 가게가서 사먹을걸 후기들은 다 두툼하다던데 매운소스는 느나마 맛있음,Three
민물장어 좋아해서 인터넷주문 종종 하는데 여기가 무게 당 가격이 조금 싸 시켜봄 자포니카 종은 살이 탱탱한데 크기가 작아서 인지 살에 힘이 멊고 흐물거려 구울때 형태잡기가 어렵고 부서짐 같이 온 양념은 정말 맛있고 생강은 색깔도 맛도 싱싱해 보이지 않음 재주문 여부는 좀 더 고민이 필요함,Three
처음 마리 가 맛이 있어 두번째로 를 주문했는데 팩중 팩 마리 추정 은 좋은 데 다른 팩 마리 추정 은 크기가 작고 신선치 못한 느낌이 들었음 그리고 소스는 조금 더 넉넉히 주었으면 합니다,Three
장어를 로당 그램짜리 를 주문했는데 마리와 작은 토막 개가 왔는데 마리 장어중 마리만 토실하니 먹을만하고 나머지 마리는 작고 장어 두깨가 얋아서 굽고 나면 먹을게 없고 맛없어요,Three
키로중에 한팩만 그램이고 두팩은 그램이네요 두께가 좀 얇아서 아쉽고 추가소스랑 뼈는 더주셨네요,Three
양이 너무 적어서 다시 읽어보니 잘못 주문했네요 애매하게 무게와 가격이 표기되어있어요 결국 비싼거네요 맛은 나쁘진 않구요,Three
가격 할인인줄 알고 주문했는데 꼼수 이셨나,Three
물이좀 생기네요,Three
장어는좋은데 초생강에 머리카락이 있네요,Three
