titles,category
당도 높은 고구마 그러나 퍽퍽한 식감 꿀고구마 라기 보다는 황토고구마 밤고구마에 가까움 몇개의 고구마에는 심이 박혀 있음 오븐에 굽기 보다는 찐고구마로 이용했을 때 더 적합하다는 생각 내돈내산 리뷰 부드럽고 퍽퍽하지 않은 꿀 고구마를 찾고 있었는데 곰곰 맛있는 꿀고구마 라는 타이틀이 이목을 끌었습니다 해당 제품이 타 제품과 비교했을 때 리뷰가 월등히 많았던지라 믿고 구매했어요 결론은 저는 비추 입니다 솔직히 맛이 없어요 많은 고구마를 먹어봤지만 결코 맛있는 고구마는 아닙니다 가격도 타 제품과 비교했을 때 많이 저렴한것도 아닌데 그냥 제가 받은 고구마가 전체적으로 맛이 없는 제품인것 같아요 크기가 크고 작고 길죽하고 짧은 것들이 뒤 섞여 있습니다 고구마는 크기가 고른 것들로 구성되어 있는 것이 상 인데 이 제품은 받자마자 상 은 아니구나 싶었어요 그래도 맛만 있으면 됐지 근데 맛도 별로입니다 꿀 고구마 아닌데요 퍽퍽해요 받자마자 개정도 오븐에 구웠는데요 하나 빼고 모두 퍽퍽했습니다 찐 고구마로 먹으면 조금 나을 것 같다는 생각을 해봐요 근데 오븐에 구웠을 때 맛없는 고구마가 찐고구마로 먹는다고 맛이 달라질까요 에이 나는 군 고구마 좋아하는데 하지만 퍽퍽 고구마는 확실히 쪄야 덜 퍽퍽 합니다 당도와 관계없이 퍽퍽 고구마가 싫다면 무조건 쪄드세요 그래도 당도는 높아요 유일한 장점 네 달달합니다 그래서 차라리 맛탕을 해 먹을까 고민중입니다 딱딱한 식감이라 차라리 맛탕으로 먹으면 맛있겠어요 고구마에 심도 있어요 아 심까지 박혀 있으면 어떡해 몇 개의 고구마가 이미 심이 박혔더라고요 왜 꿀 고구마 라고 했을까 속상합니다 앞으로는 호박고구마를 찾아야 겠어요 저는 프레쉬 상품은 정말 맛있으면 주구장창 그 제품만 주문하는데요 이렇게 믿고 구매했다가 실망을 해 버리면 리뷰에 꼭 적습니다 곰곰이라는 이름을 내걸고 판매하는만큼 질 좋은 제품을 만나고 싶어요 물론 제 리뷰는 참고만 하시고 맛있는 고구마 받으셨으면 좋겠습니다 저는 다른 제품으로 구매할래요,Three
저는 고구마러버인데요 오랜만에 고구마를 구매하려고 쿠팡을 찾아보는데 밤고구마랑 꿀고구마가 있더라구요 꿀고구마가 더 비싼데 맛있으니까 믿고 구매했습니다 그럼 솔직후기남겨볼께요 곰곰 꿀고구마 후기 사진이랑 다르게 동글하지않고 길쭉한 고구마가 왔어요 사진상에는 동그랗고 통통한 고구마잖아요 근데 제가 받은 고구마사진 보시면 길쭉길쭉 하게 생겼어요 근데 그냥 길쭉한게 아니라 좀 말랐달까요 너무 얇아서 한 손으로 잡았을때 손가락끼리 닿을 정도로 얇습니당 고구마 자체가 탄력이 없고 좀 말라비틀 상태에요 좋은 고구마는 고구마 껍데기부분이 탱탱하고 익혔을때도 껍데기랑 고구마랑 잘 분리가 되어서 쏘옥 하고 벗겨지잖아요 그런데 이 고구마는 껍데기가 고구마에 쭈글쭈글하게 붙어있어서 껍데기가 쉽게 까지지도 않고 고구마 자체가 탄력이 없어요 쭈구렁방탱이 꿀고구마가 아니라 밤고구마 맛이에요 제가 꿀고구마를 진짜 좋아해서 자주 먹는데 에프에 구우면 꿀이 주룩 흘러나오는걸 많이 먹었거든요 근데 이 고구마는 꿀은 무슨 그냥 수분 자체가 거의 없어요 꿀고구마아니에요 그냥 밤고구마라고 불러야해요 총평 쿠팡 프레쉬 상품 자주사는데 간만에 저를 당황스럽게 하네요 차라리 쪄먹었으면 수분기가 좀 더 있었을지도 모르겠어요 에프에 구워먹는건 매우매우 비추합니당 안그래도 수분기없는데 더 수분이 없어져서 목 맥혀요 저는 그래서 요거트에 말아서 먹었어요 그래도 장점은 있어요 달달하고 촉촉한 꿀고구마가 아니라서 꼭꼭 씹어먹게되고 많이 안먹게되어서 다이어트하는데 아주 도움이 될것같아요 이 꿀고구마는 다음엔 구매하지 않을 것 같아요 맛이 없는건 아니지만 꿀고구마라서 일부로 비싸게 산거라 더 마음이 아파요 차라리 다음엔 훨씬 저렴한 밤고구마 그냥 사렵니다 구매를 고민하시는 분들을 위해 최대한 솔직하게 리뷰작성했습니다 저의 리뷰가 지갑을 지키는데 도움이 되셨다면 도움이 돼요 부탁드립니다,Three
곰곰 꿀고구마 햇 고구마를 참 좋아해서 자주 고구마를 주문해서 강아지랑 나눠먹곤 하는데 곰곰 햇 꿀고구마가 있어 선택해 보았어요 저는 물건이나 식품등을 구매할때 참고가 돼는 리뷰들을 꼼꼼히 별점 낮은순 부터 읽어보고 도움을 받는데 다소 실망스러웠단 리뷰들도 있어 작은용량 으로 일단 구매했어요 이 얼마되진 않는터라 받아보니 일정한 크기는 아니지만 작은사이즈로 개 들어 있었어요 겉으로 보이는 고구마는 개를 제외하곤 상처난 부분은 없었네요 개중 개는 생으로 먹는것도 좋아해 칼로 껍질을 벗겨보는데 껍질이 잘 벗겨지지 않고 속이 꽉차 있지 않고 병든 무우마냥 단단함이 없네요 단단하고 싱싱해야 껍질도 잘벗겨지거든요 한입 베어물어 보니 단맛은 없고 식감은 흐물거리고 씁씁한맛이 나서 아 나에게 찾아온 고구마는 맛이 없겠구나 했는데 세개 모두 똑같은 싱싱함은 없어서 맛이 완전 별로 였어요 우리 강아지도 생고구마 쬐끔 잘라줘보니 냄새만 맡고 먹질 않네요 나머지 고구마 들은 에어프라이어에 도 분 뒤집어서 분 구워보니 그나마 조금 먹을만 하네요 꿀고구마 라고는 했지만 꿀은 없는 군고구마와 호박고구마 믹스한 맛정도는 되네요 달진 않았고 수분감도 그다지 많진 않았지만 중간정도에 맛이라 아주 만족하게 맛있다는 아니었지만 먹을만 하다 하고 먹었어요 곰곰고구마 괜찮은 고구마도 많았는데 요번건 맛이 조금 서운하네요 복불복이 있어서 다음 주문이 조금 망설여지긴 해요 그럼 쿠팡에서 만족한 구매하세요,Three
당도 높은 고구마 그러나 퍽퍽한 식감 꿀고구마 라기 보다는 황토고구마 밤고구마에 가까움 몇개의 고구마에는 심이 박혀 있음 오븐에 굽기 보다는 찐고구마로 이용했을 때 더 적합하다는 생각 내돈내산 리뷰 부드럽고 퍽퍽하지 않은 꿀 고구마를 찾고 있었는데 곰곰 맛있는 꿀고구마 라는 타이틀이 이목을 끌었습니다 해당 제품이 타 제품과 비교했을 때 리뷰가 월등히 많았던지라 믿고 구매했어요 결론은 저는 비추 입니다 솔직히 맛이 없어요 많은 고구마를 먹어봤지만 결코 맛있는 고구마는 아닙니다 가격도 타 제품과 비교했을 때 많이 저렴한것도 아닌데 그냥 제가 받은 고구마가 전체적으로 맛이 없는 제품인것 같아요 크기가 크고 작고 길죽하고 짧은 것들이 뒤 섞여 있습니다 고구마는 크기가 고른 것들로 구성되어 있는 것이 상 인데 이 제품은 받자마자 상 은 아니구나 싶었어요 그래도 맛만 있으면 됐지 근데 맛도 별로입니다 꿀 고구마 아닌데요 퍽퍽해요 받자마자 개정도 오븐에 구웠는데요 하나 빼고 모두 퍽퍽했습니다 찐 고구마로 먹으면 조금 나을 것 같다는 생각을 해봐요 근데 오븐에 구웠을 때 맛없는 고구마가 찐고구마로 먹는다고 맛이 달라질까요 에이 나는 군 고구마 좋아하는데 하지만 퍽퍽 고구마는 확실히 쪄야 덜 퍽퍽 합니다 당도와 관계없이 퍽퍽 고구마가 싫다면 무조건 쪄드세요 그래도 당도는 높아요 유일한 장점 네 달달합니다 그래서 차라리 맛탕을 해 먹을까 고민중입니다 딱딱한 식감이라 차라리 맛탕으로 먹으면 맛있겠어요 고구마에 심도 있어요 아 심까지 박혀 있으면 어떡해 몇 개의 고구마가 이미 심이 박혔더라고요 왜 꿀 고구마 라고 했을까 속상합니다 앞으로는 호박고구마를 찾아야 겠어요 저는 프레쉬 상품은 정말 맛있으면 주구장창 그 제품만 주문하는데요 이렇게 믿고 구매했다가 실망을 해 버리면 리뷰에 꼭 적습니다 곰곰이라는 이름을 내걸고 판매하는만큼 질 좋은 제품을 만나고 싶어요 물론 제 리뷰는 참고만 하시고 맛있는 고구마 받으셨으면 좋겠습니다 저는 다른 제품으로 구매할래요,Three
저는 고구마러버인데요 오랜만에 고구마를 구매하려고 쿠팡을 찾아보는데 밤고구마랑 꿀고구마가 있더라구요 꿀고구마가 더 비싼데 맛있으니까 믿고 구매했습니다 그럼 솔직후기남겨볼께요 곰곰 꿀고구마 후기 사진이랑 다르게 동글하지않고 길쭉한 고구마가 왔어요 사진상에는 동그랗고 통통한 고구마잖아요 근데 제가 받은 고구마사진 보시면 길쭉길쭉 하게 생겼어요 근데 그냥 길쭉한게 아니라 좀 말랐달까요 너무 얇아서 한 손으로 잡았을때 손가락끼리 닿을 정도로 얇습니당 고구마 자체가 탄력이 없고 좀 말라비틀 상태에요 좋은 고구마는 고구마 껍데기부분이 탱탱하고 익혔을때도 껍데기랑 고구마랑 잘 분리가 되어서 쏘옥 하고 벗겨지잖아요 그런데 이 고구마는 껍데기가 고구마에 쭈글쭈글하게 붙어있어서 껍데기가 쉽게 까지지도 않고 고구마 자체가 탄력이 없어요 쭈구렁방탱이 꿀고구마가 아니라 밤고구마 맛이에요 제가 꿀고구마를 진짜 좋아해서 자주 먹는데 에프에 구우면 꿀이 주룩 흘러나오는걸 많이 먹었거든요 근데 이 고구마는 꿀은 무슨 그냥 수분 자체가 거의 없어요 꿀고구마아니에요 그냥 밤고구마라고 불러야해요 총평 쿠팡 프레쉬 상품 자주사는데 간만에 저를 당황스럽게 하네요 차라리 쪄먹었으면 수분기가 좀 더 있었을지도 모르겠어요 에프에 구워먹는건 매우매우 비추합니당 안그래도 수분기없는데 더 수분이 없어져서 목 맥혀요 저는 그래서 요거트에 말아서 먹었어요 그래도 장점은 있어요 달달하고 촉촉한 꿀고구마가 아니라서 꼭꼭 씹어먹게되고 많이 안먹게되어서 다이어트하는데 아주 도움이 될것같아요 이 꿀고구마는 다음엔 구매하지 않을 것 같아요 맛이 없는건 아니지만 꿀고구마라서 일부로 비싸게 산거라 더 마음이 아파요 차라리 다음엔 훨씬 저렴한 밤고구마 그냥 사렵니다 구매를 고민하시는 분들을 위해 최대한 솔직하게 리뷰작성했습니다 저의 리뷰가 지갑을 지키는데 도움이 되셨다면 도움이 돼요 부탁드립니다,Three
곰곰 꿀고구마 햇 고구마를 참 좋아해서 자주 고구마를 주문해서 강아지랑 나눠먹곤 하는데 곰곰 햇 꿀고구마가 있어 선택해 보았어요 저는 물건이나 식품등을 구매할때 참고가 돼는 리뷰들을 꼼꼼히 별점 낮은순 부터 읽어보고 도움을 받는데 다소 실망스러웠단 리뷰들도 있어 작은용량 으로 일단 구매했어요 이 얼마되진 않는터라 받아보니 일정한 크기는 아니지만 작은사이즈로 개 들어 있었어요 겉으로 보이는 고구마는 개를 제외하곤 상처난 부분은 없었네요 개중 개는 생으로 먹는것도 좋아해 칼로 껍질을 벗겨보는데 껍질이 잘 벗겨지지 않고 속이 꽉차 있지 않고 병든 무우마냥 단단함이 없네요 단단하고 싱싱해야 껍질도 잘벗겨지거든요 한입 베어물어 보니 단맛은 없고 식감은 흐물거리고 씁씁한맛이 나서 아 나에게 찾아온 고구마는 맛이 없겠구나 했는데 세개 모두 똑같은 싱싱함은 없어서 맛이 완전 별로 였어요 우리 강아지도 생고구마 쬐끔 잘라줘보니 냄새만 맡고 먹질 않네요 나머지 고구마 들은 에어프라이어에 도 분 뒤집어서 분 구워보니 그나마 조금 먹을만 하네요 꿀고구마 라고는 했지만 꿀은 없는 군고구마와 호박고구마 믹스한 맛정도는 되네요 달진 않았고 수분감도 그다지 많진 않았지만 중간정도에 맛이라 아주 만족하게 맛있다는 아니었지만 먹을만 하다 하고 먹었어요 곰곰고구마 괜찮은 고구마도 많았는데 요번건 맛이 조금 서운하네요 복불복이 있어서 다음 주문이 조금 망설여지긴 해요 그럼 쿠팡에서 만족한 구매하세요,Three
곰곰 꿀고구마 내돈내산 솔직후기입니다 아침식사 거리 찾다가 곰곰 꿀고구마 구매했어요 고구마는 항상화 성분과 비타민 이 풍부해요 그리고 칼륨과 마그네슘 섬유질까지 건강에 좋아요 많이 먹으면 과유불급이겠지만 찐 고구마가 건강에 더 좋다지만 물 올리고 하는게 귀찮아서 저는 매번 깨끗이 씻은 뒤 에어프라이어에 구워먹어요 예전에 길에서 사먹는 군고구마 맛으로 맛있게 익는답니다 에프에 구우면 혈당스파이크 오기 좋다고 하지만 맛은 정말 최고에요 고구마 포장 상태라던가 배송속도등은 모두 만족했지만 제품사진과 다르게 너무 큰 고구마가 배송되었어요 에 개덩이 작은 고구마 한두개 챙겨다닐용으로 산건데 너무 커서 잘라다녀야하는 아쉬움이 있습니다 개인적으로 고구마는 너무 큰것보단 자잘한걸 선호해서 별 두개 빼요 고구마 보관 방법은 서늘한 그늘에 보관하는 건데요 고구마 사이에 신문지나 종이를 넣으면 더 오래 먹을 수 있어요 서늘한 곳이라고 해서 냉장고에 보관하는 분들이 종종 계시던데 고구마는 냉기에는 민감하니 냉장고나 특히 김치냉장고 요런데 보관하는건 피해야합니다 어차피 이라 주안엔 다 먹을 수 있는 양이니 저는 대충 보관하긴합니다 그냥 팬트리에 넣어두는데 상하지 않고 잘 있어요 맛있어서 재주문의사는 있지만 다음번엔 자잘한걸로 오면 좋겠네요 후기가 도움이 되었다면 도움이돼요 부탁드립니다,Three
곰곰 맛있는꿀고구마는 전부터 자주 주문하는 상품인데요 한동안 해남꿀고구마를 주문하다가 언젠가부터 곰곰맛있는꿀고구마로 갈아탔죠 이번에 배송 받은 곰곰 맛있는꿀고구마 햇 상품은 껍질이 얇고 중앙에 심 부분이 없어서 좋아요 그런데 꿀고구마 같지는 않아요 밤고구마 맛이에요 한겨울에 구워 먹던 꿀고구마를 생각하며 먹기에는 실망스러울 정도로 은은한 단맛이네요 아마 햇고구마라서 그런가봐요 수확해서 바로 나온 고구마는 맛이 별로이고 숙성시켜야 단맛이 강해진다고 하더라구요 예전에 주문했던 곰곰 맛있는꿀고구마는 배송 직후 구워 먹어도 단맛이 아주 좋았는데 햇 꿀고구마는 숙성을 시켰다가 먹는게 좋을 것 같아요,Three
아이들이 먹고싶다고 해서 배송 도착해서 바로 세척해서 쪘어요 크기는 아이들 주먹만한정도 의 사이즈 크기 고루 일정하고 한박스에 개 들어있었어요 흠집난것없이 상태 좋아요 아이들이 밤 먹는것처럼 맛있다네요 비교하자면 호박고구마 밤고구마쪽에 더 가까운 다 좋았는데 심지가 너무 많아서 안씹히는 심지 빼내느라 잘 먹지를 못하네요 요거트나 우유랑 두세개 정도 먹는 아이들인데 심지가 너무 질겨서 그냥 씹기도 힘들고 이 사이에 다 찡겨서 힘들다고 하나만 먹고 안먹는다네요 그냥 제가 먹어야겠어요,Three
곰곰에서 한입 밤고구마 을 구입했는데 매우 만족스러웠습니다 그래서 이번에는 꿀고구마 을 구입했습니다 밤고구마가 그정도의 맛이라면 꿀고구마는 얼마나 맛이 있을까 싶었습니다 그리고 고구마를 받았습니다 사이즈가 있어서 그런지 몇개 안들어 있네요 그런데 상태가 그렇게 좋은 컨지션이 아닌 제품의 고구마가 왔습니다 살짝 실망은 했지만 그래도 꿀고구마라고 하니 맛만 있으면 된다 싶었습니다 바로 에어프라이기에 넣고 조리를 시작했습니다 도에 분 돌렸는데 안되서 분 추가로 돌렸습니다 그리고 뜨거운 고구마를 후후 불면서 껍질을 벗겨내니 노랑고 맛있어 보이는 고구마의 속살이 보였습니다 눈으로는 이미 꿀고구마의 맛이 어떤지 보였습니다 김이 모락모락 나는 고구마를 후후 불며 한입먹었는데 헉 맹탕 아무 맛도 안나네요 꿀맛은 그렇다 치고 고구마의 맛도 안나네요 맛이였습니다 살짝 당황했습니다 큰거 두개를 돌려서 딸램과 하나씩 나눠 먹었기에 딸램에게 맛이 어떠냐고 물어 보았는데 그냥 그래라고 말하며 지난번 작은 사이즈의 고구마가 훨씬 맛있다고 하네요 아 실망 꿀고구마가 아니고 그냥 고구마입니다 뭐 그럭저럭 먹을만은 해서 별점은 개를 눌러봅니다 어디에도 유통기한등의 표시가 없어서 더 아쉬웠습니다,Three
