titles,category
생선은 엄마가 시장에서 싱싱한거 사다주시는데 사논 생선이 똑떨어져서 쿠팡 프레시로 시키면 바로 새벽배송 이니 고등어 어디께 좋나 하고 이리저리 뒤적 거리다가 시중에 생선가계서 파는생선들은 거의 노르웨이산이라 맛있게 먹었던 기억이 많아 오랜만에 노르웨이 고등어구이 해먹고파서 고르고 고른게 곰곰제품 이다 곰곰꺼는 많이는 아니지만 여러 제품 주문해봤는데 괜찮아서 이번에도 믿고 생선은 첨이지만 간고등어랑 딴제품 임연수 랑 시켰다 새벽에 받자마자 월 받음 지퍼백에다 낱개포장이라 사진부터 찍어놓고 냉동실에 얼른넣었다 손바닥보다 조금큰거 조금작은거 섞어서 개 왔다 월 일날 밤늦게 꺼내 냉장고에 넣고 해동시키고 일날 헹구고 구어먹는데 고등어생선 물기를 키친타올로 꼭꼭 눌러가며 닦는데 살이 탄탄하지않다는걸 느꼈다 전날 임연수를 먹었던지라 더 비교가됐다 연수는 살이촘촘하고 탱글하고 탄탄했으니까 왜이러나 이거 받을때부터 살이 딴딴하지 않았는데 머 상한거 줬겠어 하고 아무 의심없이 구웠드니 너무너무 물이 많이나옴 물반 고기반 여기저기 다튀고 난리 엥 왜 이러냐 이거 고등어 물먹인거가 안싱싱해서 이러나 걍 키친타올 무지뜯어 쓰고 먹었지요 이땐 그나마 그런데로 먹었지요 월 일 나머지 개 전날 해동하고 아침에 씻을려고뜯으니 개도 상태는 그저그런데 하나는 완전 맛갔다 하 세상에 태어나 이렇게 살이풀어지고 흐물거리는 상한 생선 난 첨 봤다 버리고 두개 궜지만 여전히 물바다 대체 생선 시킨건지 뭘 시킨건지 같이 시킨 딴제품 연수는 아직도 탱탱한데 어이없다 증말 배신감 든다 곰곰 믿었는데 그래 첨부터 안싱싱한거 준거야 재수없게 내가 걸린거야 남이 먹다 반품한거 나 받아서 먹은거마냥 그래서 싱싱하지도않고 오늘내일 맛갈라고 한거 내가 받은거냐고 말해봐 곰곰 짜증 지 대 로 다 엄마가 시장에서 싱싱한거 사올테니 맛도없는 이상한거 사지말래요 물론 다그런건 아니겠죠 내가 재수없게 걸린거겠죠 딴님들은 월달에 싱싱한거 받으셨죠 다행이에요 전 두번다시 곰곰 생선류는 안시켜먹을란다 에잇 임연수만 시킬꼬얏,Two
제가 직접 사용해보고 먹어보고 느낀 점을 쓰는 지극히 개인적인 후기 공간입니다 개개인마다 느끼는 차이는 있을 수 있으니 참고만 해 주시고 좋은 쇼핑 되시길 바랄게요 구입 동기 집에 아기들이 고등어를 잘 먹어서 항상 곰곰꺼로 주문하고 있답니다 전 체 후 기 몇번의 재구매인지는 모르겠으나 요 근 는 좀 복불복이네요 어떤 구매때에는 정말 촉촉하고 덜 짜고 맛난가 하면 어떤 구매때에는 엄 청 짯구요 이번 구매때에는 고등어 잡은지 오래된 아이인지는 모르겠으나 굽고 바로 먹고있는 도중부터 고등어 살들이 퍼석퍼석 마르기 시작해서 식사 다 할때쯤엔 딱딱해지네요 그리고 이번엔 뼈도 엄 청 나게 많아요 큰뼈에서부터 작은뼈까지 이번 주문건은 너무 실망 일단 기름기도 정말 없어요 너무 퍼석하고 금방 마르구요 항상 구워서 먹는 중에도 촉촉 하고 살도 부드러워서 애들도 잘 먹고 저도 맛나게 먹었는데 요번꺼는 조금 실망이네요 제 후기가 구매에 있어 조금이나마 도움이 됐으면 합니다 저도 고민하고 다른분들 후기 참고하고 구입하고 있어서 제 리뷰도 여러분들의 소중한 구매에 있어 꼬옥 많은 도움이 되셨음 좋겠어요 혹시나 조금이라도 도움이 돼셨다면 도움이 돼요 버튼 꼭 한번씩 부탁드릴게요 긴 후기 읽어주셔서 감사합니다 오늘도 행복하고 좋은 하루 되세요,Two
고등어는 매번 떨어지지 않게 주문해두는데 세일하던 타업체꺼 주문해서 먹어보니 가시가 많아 먹기 불편해서 마침 하나 남은 상황이라 곰곰꺼로 다시 주문했어요 곰곰꺼가 간도 적당하고 가시도 거의 제거가 돼 있어서 그동안 사던 제품이었거든요 키로에 갯수는 개 들어있었고 고등어 담겨있는 포장이 투명색이었는데 파랑색으로 바꼈네요 오늘 맛 보려고 살짝 해동된 상태로 봉지 열었는데 뭔일인지 고등어살이 껍질에 단단히 붙어 있지 않고 으스러진 모양으로 돼 있더라구요 구웠는데 역시나 심지어 고등어 맛 향도 잘 느껴지지 않아 순간 고등어가 맞는지 의심스러울 정도더라구요 저희 남편도 이게 뭐냐며 고등어 맛이 안난다고 타업체꺼 남은 하나도 같이 구운건데 둘을 놓고 보니 확연히 차이가 나네요 이것만 그런가 싶어 우선 별점은 개 줬는데 포장색이 짙은게 고등어살 부분을 잘 안보이게 하기 위해 그런건지 괜히 의심스럽긴한데 나머지도 이것과 같은지 추후에 확인해봐야 할것같아요 믿고 재구매한건데 요번꺼는 좀 실망스럽네요,Two
생선은 엄마가 시장에서 싱싱한거 사다주시는데 사논 생선이 똑떨어져서 쿠팡 프레시로 시키면 바로 새벽배송 이니 고등어 어디께 좋나 하고 이리저리 뒤적 거리다가 시중에 생선가계서 파는생선들은 거의 노르웨이산이라 맛있게 먹었던 기억이 많아 오랜만에 노르웨이 고등어구이 해먹고파서 고르고 고른게 곰곰제품 이다 곰곰꺼는 많이는 아니지만 여러 제품 주문해봤는데 괜찮아서 이번에도 믿고 생선은 첨이지만 간고등어랑 딴제품 임연수 랑 시켰다 새벽에 받자마자 월 받음 지퍼백에다 낱개포장이라 사진부터 찍어놓고 냉동실에 얼른넣었다 손바닥보다 조금큰거 조금작은거 섞어서 개 왔다 월 일날 밤늦게 꺼내 냉장고에 넣고 해동시키고 일날 헹구고 구어먹는데 고등어생선 물기를 키친타올로 꼭꼭 눌러가며 닦는데 살이 탄탄하지않다는걸 느꼈다 전날 임연수를 먹었던지라 더 비교가됐다 연수는 살이촘촘하고 탱글하고 탄탄했으니까 왜이러나 이거 받을때부터 살이 딴딴하지 않았는데 머 상한거 줬겠어 하고 아무 의심없이 구웠드니 너무너무 물이 많이나옴 물반 고기반 여기저기 다튀고 난리 엥 왜 이러냐 이거 고등어 물먹인거가 안싱싱해서 이러나 걍 키친타올 무지뜯어 쓰고 먹었지요 이땐 그나마 그런데로 먹었지요 월 일 나머지 개 전날 해동하고 아침에 씻을려고뜯으니 개도 상태는 그저그런데 하나는 완전 맛갔다 하 세상에 태어나 이렇게 살이풀어지고 흐물거리는 상한 생선 난 첨 봤다 버리고 두개 궜지만 여전히 물바다 대체 생선 시킨건지 뭘 시킨건지 같이 시킨 딴제품 연수는 아직도 탱탱한데 어이없다 증말 배신감 든다 곰곰 믿었는데 그래 첨부터 안싱싱한거 준거야 재수없게 내가 걸린거야 남이 먹다 반품한거 나 받아서 먹은거마냥 그래서 싱싱하지도않고 오늘내일 맛갈라고 한거 내가 받은거냐고 말해봐 곰곰 짜증 지 대 로 다 엄마가 시장에서 싱싱한거 사올테니 맛도없는 이상한거 사지말래요 물론 다그런건 아니겠죠 내가 재수없게 걸린거겠죠 딴님들은 월달에 싱싱한거 받으셨죠 다행이에요 전 두번다시 곰곰 생선류는 안시켜먹을란다 에잇 임연수만 시킬꼬얏,Two
아 고등어가 복불복인가보오 상품평보고 구매했는데 완전 꽝이네요 사진보시면 군데 군데 누렇게 된 부분이 있죠 그거 기름이 쩔은거에요 배쪽이젤심하고요 고등어가 자체가 오래된거 같아요 유통기한은 넉넉한데 얼른먹지 않으면 최강 비린내를 경험 하실 수 있을거에요 고등어 검수 잘하셔야할것같습니다 신선하면 기름이 누렇게 되질 않아요 받자마자 불안불안 마리 구웠는데 기름진쪽 누런곳은 비리고 기름쩐내 장난아닙니다 몸통은 맛은있어요 그나마 파랑 같이구워서 비린내는 조금 잡혔는데 배쪽은 진짜 구역질 납니다 이미 세마리 개봉해서 그냥 먹겠습니다만 진짜 검수 잘하십시오,Two
음 일단 이거를 구매하기 전에 리뷰를 몇 개 보고 구매를 했는데 리뷰에서 본 것과는 다르게 오픈 해보니 살 부분이 파란색으로 안보이게 진공포장이 되어있어서 음 뭐 진공포장재가 바뀌었나보다 생각했죠 저는 도착하자마자 바로 구워먹기 위해서 하나를 뜯었고 생선 살 쪽을 보자마자 실망을 엄청했죠 싱싱하다고 말하기에는 살 색깔이 누랬고 내장막도 제대로 잘 제거되지 않아서 제가 다시 씻었네요 맛은 아직 먹어보지 못했지만 일단 신선도에서 엄청 실망을 해버려서 맛이 좋든 없든 일단 별점을 많이 주고싶지는 않습니다,Two
두번째 시키는건데 첫번째시킬때는 비린냄시안났는데 지퍼여는순간 비린냄시 첫번째랑확연히틀리네요 크기나 생선 때깔이나 냄시랑 먹어보지안았지만 상당히냄시가나네요,Two
엄청 맛있을 줄 알았는데 간고등어의 그 짭쪼롬한 맛도 없구 고등어의 고소한맛도 없어요 사진으론 표현이 잘 안되는데 너무 수분이 빠져서 말라보이고 구었을때 촉촉한게 아니고 좀 질기네요 육즙도 하나도 없구요 생각보다 좀 작아요 먹어 치울 일이 걱정이네요,Two
이번건 너무 별로였어요 작아도 너너너무 작네요 에어프라이어에 돌이면 닭가슴살만 해져요 그리고 좀 뭔가 수분기도 없구요 쿠팡에서 고등어 늘 사는데 이번건 조금 아쉬움이 있어요 구입후 여러번 먹어본 후기입니다 쿠팡에서 여러가지 뼈없는 고등어가 있죠 곰곰은 처음인데 이번건 뼈가 너무 많습니다 잔뼈가 무척 많아 조심하지 않으면 걸려요 그러다 오늘 사건이 났네요 개월 아기 고등어를 먹이다 주의했는데도 가시가 목에 걸려 난리가 났네요 몇십분을 울고 응급실도 원활하지 않아 난리나다가 아이가 토해서 보니 그 속에 가량의 뼈가 꺾여서 생선은 뼈가 당연히 있죠 가시없는 생선이라 해도 가시가 있지만 상당히 가시가 많으니 주의해서 드시길 바랍니다,Two
인터넷으로 냉동 노르웨이 고등어 많이 구입해봤는데 그 중 가장 별로네요 생선 정말 좋아하고 특히 뱃살과 생선껍질 좋아하는데 이건 껍질이 질겨서 당최 씹히지가 않아요 고등어 껍질이 바삭하게 살과 함께 젓가락으로 잘려서 입으로 들어와야 하는데 살만 분리되서 젓가락으로 껍질 찢어보려 해도 안찢깁니다 그래서 앞니로 잘라먹어보려해도 비닐인지 고무인지 앞니로도 잘리지가 않아요 껍질이 막 두꺼운것도 아닌데 왜 이러는지 모르겠습니다 이런 고등어는 처음 먹어보네요 쿠팡에서 구매한 것들 무난무난 다 좋아서 딱히 리뷰를 안남기고 잘 사용하고 있었는데 이건 왜 리뷰가 좋지 싶어서 남깁니다,Two
