titles,category
두번째 주문하는 꽃게에요 처음 주문했을때 저렴한 가격에 가족끼리 너무 잘먹어서 이번에 또 주문했어요 그런데 이번 껀 조금 살도 없고 암꽃게가 하나 섞여있더라구요 처음껄 너무 좋은 상품을 받아서 기대치가 높아져서 그런지 이번 껀 좀 실망이었어요 딸이랑 사위까지 맛있어서 불렀는데 조금은 실망했지만 그래도 나름 맛있게 먹었어요 살이 조금 덜 차서 그랬지만 가족끼리 잘 먹었습니다 배송도 하루만에 오고 포장도 잘 되어있어서 너무너무 좋네요 기회가 된다면 또 꽃게철이 돌아오면 주문하고 싶어요 추천드려요,Four
기대하고 샀는데 맛은 있는데 수율이 좀 아쉬워요 사진보면 살 없어서 투명하게 비어있음,Four
일단 다 죽어서 배송왔고요 키로 암게 마리 숫게 마리 총 마리배송왔고 저 게만 살이 텅텅인건지 좀 아쉬웠습니다 나머지 마리는 수율 퍼정도 나와서 너무맛잇게먹었어요 근데 국산이라면서 다리가 파란색에 숫꽃게라고 팔면서 암꽃게온거도 좀그런데 암꽃게들 오래된거마냥 까매서 버렸습니다 구매하실때 잘 생각해보고 구매하십쇼,Four
마리 도착했고 신선했습니다 하지만 아이스박스가 꽃게때문에 미세하세 구멍이 나있어서 문앞에 물이 흘러서 냄새가 그점 빼고는 다 좋습니다,Four
두번째 주문하는 꽃게에요 처음 주문했을때 저렴한 가격에 가족끼리 너무 잘먹어서 이번에 또 주문했어요 그런데 이번 껀 조금 살도 없고 암꽃게가 하나 섞여있더라구요 처음껄 너무 좋은 상품을 받아서 기대치가 높아져서 그런지 이번 껀 좀 실망이었어요 딸이랑 사위까지 맛있어서 불렀는데 조금은 실망했지만 그래도 나름 맛있게 먹었어요 살이 조금 덜 차서 그랬지만 가족끼리 잘 먹었습니다 배송도 하루만에 오고 포장도 잘 되어있어서 너무너무 좋네요 기회가 된다면 또 꽃게철이 돌아오면 주문하고 싶어요 추천드려요,Four
기대하고 샀는데 맛은 있는데 수율이 좀 아쉬워요 사진보면 살 없어서 투명하게 비어있음,Four
일단 다 죽어서 배송왔고요 키로 암게 마리 숫게 마리 총 마리배송왔고 저 게만 살이 텅텅인건지 좀 아쉬웠습니다 나머지 마리는 수율 퍼정도 나와서 너무맛잇게먹었어요 근데 국산이라면서 다리가 파란색에 숫꽃게라고 팔면서 암꽃게온거도 좀그런데 암꽃게들 오래된거마냥 까매서 버렸습니다 구매하실때 잘 생각해보고 구매하십쇼,Four
마리 도착했고 신선했습니다 하지만 아이스박스가 꽃게때문에 미세하세 구멍이 나있어서 문앞에 물이 흘러서 냄새가 그점 빼고는 다 좋습니다,Four
마리 큰놈으로 왔고 마리 숫게 마리 암게 가격이 저렴하니 그냥그냥 적당히 괜찮은 편이예요,Four
꽃게를 큰 사이즈로 구매했어요 쪄 먹고 남은 건 간장게장 해서 먹었어요 신선도는 남편이 보니까 괜찮다고 좋다고 하네요 배송상태 만족합니다,Four
저는 꽃게에 진심인 고객입니다 보약으로 꽃게를 먹을 정도로요 크기를 알 수 없어서 모험적으로다가 주문했는대 개 빼곤 크기가 작네요 마음에 드는 크기의 꽃게를 사고 싶어 하신다면 시장으로 가세요,Four
요번 꽃게 넘 좋았어요 다만 몇개가 꽃게 색깔이 밝지 못하고 분홍을 띈게 있었는데 이니나 다를까 쪄보니 오래된 꽃게라는걸 알았고 오래된거랑 섞인게 아닌가 싶어요 또 구매는 하고 싶지만 분홍색을 띄는 꽃게는 빼주신다면 재구매 의사 있습니다 판매자께 전달되었음 좋겠네요,Four
마릿수가 많고 살이 꽉 찾더군요 마리쯤 이네요 여러번 쩨 먹었네요 다음 번에는 좀 더 큰 사이즈의 꽃게를 주문해보고싶네요,Four
살아있는것은 아닌데 죽은지 오래도지않은 싱싱해요 애들이 만이 큰편은 아니고요 가격대비 먹을만해요,Four
다리가 몆개 어디로갔는지 없따요 보내주세요 일단 먹어보고 후기다시올릴께요,Four
암수섞여있구 큰거 마리 작은거 마리왔어요 살꽉차있어 먹을게 많네요,Four
상품은 괜찮았지만 아쉬운것은 살아 있는 채로 보냈으면 더 좋았을걸 아쉬움이 있네요,Four
꽃게는 크서 좋았는데 맛도 못보고 다 버렸어요 도착 문자가 안와서 이틀 후에나 도착한거 알았네요 적어도 벨이라도 눌러주시지 문자랑 벨도 안눌러주시면 쿠팡 배송상태를 실시간으로 확인해야되자나요,Four
엄마에게 보내드려 직접 보지는 못했는데 마리 왔다하시네요 맛있었음 합니다,Four
