titles,category
오늘 받자 바로 섯마리 쪘는데 섯마리 중에 마리가 상한거 왔네요 타 회사보다 비싸게 받으면 믿을 만한 꽃게를 보내줘야 하는거 아닌지요 태안에서 당일 수확해 보낸 다길래 믿고 구매했는데 먼 벼락인지 나머지 마리 수거해주세요 차 오늘 아침 남편 이 일단 다 뚜껑 열어 보자고 해서 열어보니 마리중 마리만 싱싱하네요 냉동을 사먹어도 이렇지 않아요,One
게양과 배송은 너무 마음에 들었습니다 하지만 게를 찐결과 살이 별로 없었습니다 그리고 살이 탱탱한게 아니라 물컹거리는 살에다 꽃게 여러번 먹어봤지만 이런살은 처음이에요 원래 리뷰 잘 안쓰는데 속상해서 씁니다 좋은 안주라 로얄살루트도 땄는데 아쉬움만 큽니다,One
가까운 연안부두 가도 한번도 이 싸이즈 사본적 없고 써비스로도 받아본적없는 여자손바닥싸이즈 첨 봅니다 식당에서 먹는 싸구려 냉동 무침꽃게는 봣는데 찜용이라 얘기까지 드렸는데 막상 받아보니 헐 온라인으로 다시 안삽니다 사용할 용도에 맞게 사야하는데 키로샀는데 크다고 느끼는거 골라 쪄보니 역시 살도 죽고 별로 없고 다리는 뭐 다 버리죠 내 잘못이죠 남은건 무침해먹으렵니다 싱싱한지도 잘 모르겠네요,One
오늘 배송받아서 쪄먹다가 화딱지나서 먹다말고 씁니다 키로 주문해서 열마리 이상인데 딱봐도 사이즈 좋고 싱싱해 보이는건 정확히 마리 있었고요 나머지는 사이즈도 쪼만한데 그중 절반 이상이 사진처럼 내장이 썩은건지 꽃게가 지병이 있었던건지 게딱지 내부가 온통 시꺼매요 다 버리다가 내가 예민한건가 싶어서 한입 먹어봤는데 사약맛이네요 제 느낌상 키로수로 판매하면서 상태좋은건 몇마리만 끼워놓고 나머지는 잔바리들로 키로수 채워서 판매하는것 같은데 그럴바엔 크기별로 가격차등해서 판매하는게 어떠신지 뭐모르고 키로수만 보고 주문했다가 질병걸린것마냥 시꺼먼 게딱지를 보고나니 화딱지 나는것보단 낫다고 봅니다,One
오늘 받자 바로 섯마리 쪘는데 섯마리 중에 마리가 상한거 왔네요 타 회사보다 비싸게 받으면 믿을 만한 꽃게를 보내줘야 하는거 아닌지요 태안에서 당일 수확해 보낸 다길래 믿고 구매했는데 먼 벼락인지 나머지 마리 수거해주세요 차 오늘 아침 남편 이 일단 다 뚜껑 열어 보자고 해서 열어보니 마리중 마리만 싱싱하네요 냉동을 사먹어도 이렇지 않아요,One
게양과 배송은 너무 마음에 들었습니다 하지만 게를 찐결과 살이 별로 없었습니다 그리고 살이 탱탱한게 아니라 물컹거리는 살에다 꽃게 여러번 먹어봤지만 이런살은 처음이에요 원래 리뷰 잘 안쓰는데 속상해서 씁니다 좋은 안주라 로얄살루트도 땄는데 아쉬움만 큽니다,One
가까운 연안부두 가도 한번도 이 싸이즈 사본적 없고 써비스로도 받아본적없는 여자손바닥싸이즈 첨 봅니다 식당에서 먹는 싸구려 냉동 무침꽃게는 봣는데 찜용이라 얘기까지 드렸는데 막상 받아보니 헐 온라인으로 다시 안삽니다 사용할 용도에 맞게 사야하는데 키로샀는데 크다고 느끼는거 골라 쪄보니 역시 살도 죽고 별로 없고 다리는 뭐 다 버리죠 내 잘못이죠 남은건 무침해먹으렵니다 싱싱한지도 잘 모르겠네요,One
오늘 배송받아서 쪄먹다가 화딱지나서 먹다말고 씁니다 키로 주문해서 열마리 이상인데 딱봐도 사이즈 좋고 싱싱해 보이는건 정확히 마리 있었고요 나머지는 사이즈도 쪼만한데 그중 절반 이상이 사진처럼 내장이 썩은건지 꽃게가 지병이 있었던건지 게딱지 내부가 온통 시꺼매요 다 버리다가 내가 예민한건가 싶어서 한입 먹어봤는데 사약맛이네요 제 느낌상 키로수로 판매하면서 상태좋은건 몇마리만 끼워놓고 나머지는 잔바리들로 키로수 채워서 판매하는것 같은데 그럴바엔 크기별로 가격차등해서 판매하는게 어떠신지 뭐모르고 키로수만 보고 주문했다가 질병걸린것마냥 시꺼먼 게딱지를 보고나니 화딱지 나는것보단 낫다고 봅니다,One
배송은 갑자기 당껴서 일찍 왔어요 오래기다리고 있었는데 기분좋게 오자마자 열어보니 얼음잔뜩 숫꽃게 대략 마리 크기는 손바닥 정도 적당 근데 꽃게탕 바로 끌여 먹어보니 이거 냉동햇다 녹은건지 살이 물렁물렁 퍽퍽 단물도 없고 꽃게탕 한두번 먹은것도 아닌데 냉동도 이렇진 않다 비싼돈주고 가족들 먹일려고 기다리고 삿는데 양심 있음 이걸 조업해서 활 꽂게라고 팔지맙시다 애들이 아무리 그래도 살은거 보냈다면 하루 이틀새 살이 찰진기하없이 물렁할까 그대의 밥상 부산 소비자 우롱하지 맙시다,One
지난 월 초에 한번 주문했을 때 게살이 너무 싱싱하고 쫄깃해서 좋은 물건을 받았어서 재구매로 이번엔 구매했는데 너무 실망스럽습니다 하나같이 물렁한 살인데다 어떤 건 게딱지 뜯어내니까 썩은 냄새 납니다 약 개 정도 이건 같이 보내져 온 크기가 작은 게보다 더 기분나쁘네요 저한테만 이렇게 보낸 것 같은 느낌이 들 정도네요 후기는 대부분의 구매자들이 좋은 게를 받았다는데 안좋은 물건은 사진찍어서 전송해달라는 안내문을 봤습니다만은 이 또한 귀찮습니다 안내문대로만 해주시면 감사하겠습니다,One
