titles,category
아무리 저렴한 제품이라고 해도 어떻게 이런상품을 보내죠 프레시백 안에 작은 박스로 포장되어있길래 몬가 뜯어보니 깻잎이네요 근데 뜯자마자 잎이 거의까맣길래 원래 색이 까만 깻잎인줄알았어요 근데 뜯어보니 와그런지 초록색부분이 조금 남아있고 나머지가 다 까맣게 변해져있더군요 진짜 실망입니다 제가 원래 귀찮아서 리뷰 안쓰는데 오늘받은 제품은 다 최악이라 리부 쓰네요,One
아침에 받앗고 저녁에 먹으려고 꺼냇는데 이게뭐람 곰곰이 가격이 착해서 되도록 곰곰 사용하는데 실망해서 안쓸듯,One
깻잎은 좋은것 같은데 냉해를 입어서 먹을 수가 없네요 음식쓰레기를 배송해 주시고 깻잎은 마트 가서 사는 걸로 복불복도 아니고 채소를 이렇게 얼려서 오면 어쩌자는 건지 꺼내어 보니 장 살았네요 아니네요 반장 살았네요 이럴거면 냉동 식품이라 말해 주세요,One
깻잎 대부분에 까만 점 잘라내고 뜯어내서 식재료로 쓰긴 했는데 아예 못 먹을 수준의 깻잎도 많았고요 멀쩡한 건 장 정도 있었습니다 이런 컨디션이라면 검수를 잘 해서 판매하지 않아야 할 것 같아요 별점이 높은 제품이라 한번만 더 믿어보자는 마음으로 재주문 저번보다 더 심각한 상태의 깻잎이 왔어요 마지막 사진 장 추가 다시는 안 시키려고요,One
아무리 저렴한 제품이라고 해도 어떻게 이런상품을 보내죠 프레시백 안에 작은 박스로 포장되어있길래 몬가 뜯어보니 깻잎이네요 근데 뜯자마자 잎이 거의까맣길래 원래 색이 까만 깻잎인줄알았어요 근데 뜯어보니 와그런지 초록색부분이 조금 남아있고 나머지가 다 까맣게 변해져있더군요 진짜 실망입니다 제가 원래 귀찮아서 리뷰 안쓰는데 오늘받은 제품은 다 최악이라 리부 쓰네요,One
아침에 받앗고 저녁에 먹으려고 꺼냇는데 이게뭐람 곰곰이 가격이 착해서 되도록 곰곰 사용하는데 실망해서 안쓸듯,One
깻잎은 좋은것 같은데 냉해를 입어서 먹을 수가 없네요 음식쓰레기를 배송해 주시고 깻잎은 마트 가서 사는 걸로 복불복도 아니고 채소를 이렇게 얼려서 오면 어쩌자는 건지 꺼내어 보니 장 살았네요 아니네요 반장 살았네요 이럴거면 냉동 식품이라 말해 주세요,One
깻잎 대부분에 까만 점 잘라내고 뜯어내서 식재료로 쓰긴 했는데 아예 못 먹을 수준의 깻잎도 많았고요 멀쩡한 건 장 정도 있었습니다 이런 컨디션이라면 검수를 잘 해서 판매하지 않아야 할 것 같아요 별점이 높은 제품이라 한번만 더 믿어보자는 마음으로 재주문 저번보다 더 심각한 상태의 깻잎이 왔어요 마지막 사진 장 추가 다시는 안 시키려고요,One
참치김밥싸려고 주문했는데 장만 써도 되었기에 그냥 가장자리 오려서 사용했습니다 좋은 제품으로 보내주세요,One
사진에보시면 알것같네요 상품가치없는 얼굴만한크기의 깻잎이 장중에 장 있고요 나머지는 정상크기 입니다 김밥에 넣을려고 급하게 구매했는데 먹어야할지 버려야할지 고민됩니다 천원이라도 아까운 느낌입니다,One
