titles,category
한겨울철엔 프레시백 받을 때 몇가지 채소가 아이스팩때문에 얼어오는 경우가 잦아요 예전에 대파가 좀 심했는데 그래서인지 요샌 대파는 프레시백에 안담기고 따로 비닐에 배송되어서 얼지 않고 받을 수 있어요 그래도 아직 애호박도 그렇고 몇가지 잎채소들은 부분 부분 언채로 배송되요 이번에 깻잎이에어캡으로 둘둘말려서 담겨있길래 아 이제 안얼었겠다 싶었는데 왠걸요 처참했어요 고기에 싸먹으려고 주문했는데 이건 쌈채소로는 못먹겠다싶더군요 볶음에 사용해보려고 일단 냉장고에 넣어놨습니다 냉장고에서 나름 좀 건조된건지 하루 지나 다시 꺼냈을 땐 물기는 말라있었고 받았을때보단 상태가 히안하게 좀 낫더라구요 다행히 끝 부분만 얼어서 검게 변색되어있길래 가위로 다 도려내고 씻었더니 흐물흐물하진 않았습니다 만약 흐물거렸으면 버렸을거예요 사실 받고나서 교환해야하나 생각했는데 교환해도 얼어오는건 비슷할거고 괜히 아깝게 깻잎만 버려지겠다 싶어서 그냥 제가 어떻게든 먹어보려고 생각을 바꿨어요 쿠팡에서 냉해방지포장까지 신경쓴건데도 아쉽게도 방지가 안되요 집에 재료도 없는데 어거지로 순대볶음해먹었어요 양배추가 없어서 대신 팽이버섯 넣었는데 양배추처럼 양념이 타지 않게 적당한 수분기도 유지시켜주고 아삭거리는 식감도 있어서 양배추대타역할을 제대로 하드라구요 대파 양파 팽이버섯 깻잎 사각어묵과 순대만으로 양념해서 볶았는데 의외로 제법 맛있게 먹었습니다 양념은 고추가루 고추장 간장 다진마늘 맛술 설탕 올리고당 후추 생강가루로 만들었어요 문제는 순대볶음의 꽃은 깻잎인데 이 깻잎이 확실히 얼었다가 녹아서 마른거라 그런지 너무 질기더군요 냉해부분 제거하고 씻어놓으니 괜찮아보였는데 하 진짜 질겼어요 향도 안났구요 진짜 어거지로 어거지로 이 깻잎을 다 쓰긴했지만 겨울엔 쿠팡에서 깻잎은 주문안하렵니다 겨울철엔 채소는 그냥 비닐에 따로 담아 배송하셔야할 것 같아요 온라인 구매시 제가 구매평에 거의 의존하는 편이라 느낀 그대로 자세하고 솔직하게 구매평을 남깁니다,Two
장점 깻잎이 향이 살아있고 싱싱해서 좋았습니다 단점 냉동제품과 겹쳐서 배송되어 일부분이 얼어서 못먹게 되어있었습니다 안녕하세요 저는 합리적인 소비를 추구하는 리뷰어입니다 제 리뷰를 보시고 구매하는데 도움이 되셨으면 좋겠습니다 구매하기까지 요즘 평소에 야채를 잘 챙겨먹지 못하게 되는 것 같더라구요 그래서 억지로라도 야채를 먹어야 겠다는 생각을 가지고 여러가지 야채들을 주문해 보게 되었습니다 의식적으로 야채를 먹으려 하지 않으면 잘 섭취가 안되더라구요 제품 특징 제품은 냉장이 되어서 신선한 상태로 배송되어 왔습니다 냉동제품과 같이 와서 그런지 얼어버린 부분은 먹을수가 없게 되어 있더라구요 얼어서 버린 부분을 제외하고 나머지는 전혀 오래된 것 같지가 않았습니다 예전에 프레시로 야채를 시켰을 때는 선도에서 문제가 되는 경우가 많았는데 최근들어서는 대부분 제품들이 신선하게 만족스러운 상태로 오더라구요 저는 고기쌈 겸으로 해서 먹었는데 맛도 좋았습니다 전반적으로 깔끔하고 신선한 맛이 느껴져서 너무 만족스러운 구매였습니다 꼭 다시 구매해서 먹고싶네요 추천드리고 싶습니다 제 리뷰가 구매하시는데 도움이 되었다면 도움이 돼요 한번 부탁드립니다 감사합니다 좋은 하루 되시고 행복하세요,Two
맛 만족도 괜찮아요,Two
이번에 주문한 모든 채소류가 아주 실망스럽네요 깻잎뿐만 아니라 주문한 야채 전부 싱싱하지 않은 것들로 배송됐어요 원래 요리를 잘 하지 않아 오래 보관할 수 있는 싱싱한 야채를 기대했는데 큰일났습니다 빨리 빨리 먹어야겠어요 후 처음 받아본 깻잎은 아침에 배송되고 약 시 사이 오래 지나지 않았음에도 시반 이미 겉으로 보기에 숨이 죽어있었습니다 굳이 비닐을 개봉하지 않아도 보이는 시무룩함이랄까요 마치 출근 전 저의 모습처럼 싱싱하지 않고 어딘가 풀이 죽은 듯한 모습에 연민을 느껴 얼른 보내주자는 마음에 바로 요리를 해봤습니다 요즘 인별에서 많이 보이는 다이어트 음식 우삼겹찜으로요 원래대로라면 펼쳐져있는 고기를 사서 깻잎과 팽이버섯을 돌돌 말아 찌려고 했는데 귀찮아서 그냥 야채 다 때려넣었어요 참고부탁쓰 세척 후 자를 때까지만 해도 깻잎향이 강하지 않아 아쉬움이 많이 남았는데 완성된 요리를 먹으니 깻잎향이 의외로 잘 베여있었어요 그래서 별 하나 더했습니다 그래도 다음엔 좀 더 싱싱한 깻잎으로 받고 싶네요 다행히 양이 적어서 이틀 더 요리하면 다 먹을 수 있을 것 같아요 좋아해야할지 말아야할지 흑 야채값 후달달 일단 얼른 먹어야겠습니다 제 리뷰가 도움이 되셨다면 도움이 돼요 버튼 부탁드립니다,Two
내 돈 내 산 후기입니다 주문 일 년 월 일 배송 완료 일 년 월 일 중량 구매 이유 반찬을 만들어 먹기 위해 구매 하게 되었습니다 섭취 후기 이번 제품은 신선도 면에서 많이 아쉬웠던 제품이었습니다 깻잎의 일부분이 검게 변해 있더라 구요 밑 부분만 그래서 잘라내고 반찬을 만들어 먹긴 했지만 이 부분이 많이 아쉬웠습니다 이 부분에 대해서는 제가 첨부한 사진을 통해 확인 가능하세요 크기의 경우는 다양한 크기의 깻잎이 들어 있는 편이었습니다 저는 깻잎을 반찬으로 만들어 먹을 때 깻잎을 한 번 찐 후에 양념을 해서 버무려 먹는 편인데요 혹시 질긴 깻잎을 구매 하게 되었다고 느껴 지실 때는 저처럼 깻잎을 조금 쪄서 해 보시는 것을 추천 드려요 깻잎을 찌실 때는 많이 안 찌셔도 되고 숨이 살짝 죽을 정도만 쪄 주신 후에 양념을 무쳐 주시면 깻잎도 부드러워 지고 양념도 더 잘 베어 드는 느낌이라 저는 더 맛있더라 구요 이렇게 한 번 만들어 드셔 보시는 것 추천 드립니다 이미지는 제품의 상태가 궁금하신 분들을 위해 첨부합니다 제 후기가 많은 분들에게 도움이 될 수 있었으면 좋겠습니다,Two
맛 만족도 보통이에요,Two
한겨울철엔 프레시백 받을 때 몇가지 채소가 아이스팩때문에 얼어오는 경우가 잦아요 예전에 대파가 좀 심했는데 그래서인지 요샌 대파는 프레시백에 안담기고 따로 비닐에 배송되어서 얼지 않고 받을 수 있어요 그래도 아직 애호박도 그렇고 몇가지 잎채소들은 부분 부분 언채로 배송되요 이번에 깻잎이에어캡으로 둘둘말려서 담겨있길래 아 이제 안얼었겠다 싶었는데 왠걸요 처참했어요 고기에 싸먹으려고 주문했는데 이건 쌈채소로는 못먹겠다싶더군요 볶음에 사용해보려고 일단 냉장고에 넣어놨습니다 냉장고에서 나름 좀 건조된건지 하루 지나 다시 꺼냈을 땐 물기는 말라있었고 받았을때보단 상태가 히안하게 좀 낫더라구요 다행히 끝 부분만 얼어서 검게 변색되어있길래 가위로 다 도려내고 씻었더니 흐물흐물하진 않았습니다 만약 흐물거렸으면 버렸을거예요 사실 받고나서 교환해야하나 생각했는데 교환해도 얼어오는건 비슷할거고 괜히 아깝게 깻잎만 버려지겠다 싶어서 그냥 제가 어떻게든 먹어보려고 생각을 바꿨어요 쿠팡에서 냉해방지포장까지 신경쓴건데도 아쉽게도 방지가 안되요 집에 재료도 없는데 어거지로 순대볶음해먹었어요 양배추가 없어서 대신 팽이버섯 넣었는데 양배추처럼 양념이 타지 않게 적당한 수분기도 유지시켜주고 아삭거리는 식감도 있어서 양배추대타역할을 제대로 하드라구요 대파 양파 팽이버섯 깻잎 사각어묵과 순대만으로 양념해서 볶았는데 의외로 제법 맛있게 먹었습니다 양념은 고추가루 고추장 간장 다진마늘 맛술 설탕 올리고당 후추 생강가루로 만들었어요 문제는 순대볶음의 꽃은 깻잎인데 이 깻잎이 확실히 얼었다가 녹아서 마른거라 그런지 너무 질기더군요 냉해부분 제거하고 씻어놓으니 괜찮아보였는데 하 진짜 질겼어요 향도 안났구요 진짜 어거지로 어거지로 이 깻잎을 다 쓰긴했지만 겨울엔 쿠팡에서 깻잎은 주문안하렵니다 겨울철엔 채소는 그냥 비닐에 따로 담아 배송하셔야할 것 같아요 온라인 구매시 제가 구매평에 거의 의존하는 편이라 느낀 그대로 자세하고 솔직하게 구매평을 남깁니다,Two
장점 깻잎이 향이 살아있고 싱싱해서 좋았습니다 단점 냉동제품과 겹쳐서 배송되어 일부분이 얼어서 못먹게 되어있었습니다 안녕하세요 저는 합리적인 소비를 추구하는 리뷰어입니다 제 리뷰를 보시고 구매하는데 도움이 되셨으면 좋겠습니다 구매하기까지 요즘 평소에 야채를 잘 챙겨먹지 못하게 되는 것 같더라구요 그래서 억지로라도 야채를 먹어야 겠다는 생각을 가지고 여러가지 야채들을 주문해 보게 되었습니다 의식적으로 야채를 먹으려 하지 않으면 잘 섭취가 안되더라구요 제품 특징 제품은 냉장이 되어서 신선한 상태로 배송되어 왔습니다 냉동제품과 같이 와서 그런지 얼어버린 부분은 먹을수가 없게 되어 있더라구요 얼어서 버린 부분을 제외하고 나머지는 전혀 오래된 것 같지가 않았습니다 예전에 프레시로 야채를 시켰을 때는 선도에서 문제가 되는 경우가 많았는데 최근들어서는 대부분 제품들이 신선하게 만족스러운 상태로 오더라구요 저는 고기쌈 겸으로 해서 먹었는데 맛도 좋았습니다 전반적으로 깔끔하고 신선한 맛이 느껴져서 너무 만족스러운 구매였습니다 꼭 다시 구매해서 먹고싶네요 추천드리고 싶습니다 제 리뷰가 구매하시는데 도움이 되었다면 도움이 돼요 한번 부탁드립니다 감사합니다 좋은 하루 되시고 행복하세요,Two
맛 만족도 괜찮아요,Two
이번에 주문한 모든 채소류가 아주 실망스럽네요 깻잎뿐만 아니라 주문한 야채 전부 싱싱하지 않은 것들로 배송됐어요 원래 요리를 잘 하지 않아 오래 보관할 수 있는 싱싱한 야채를 기대했는데 큰일났습니다 빨리 빨리 먹어야겠어요 후 처음 받아본 깻잎은 아침에 배송되고 약 시 사이 오래 지나지 않았음에도 시반 이미 겉으로 보기에 숨이 죽어있었습니다 굳이 비닐을 개봉하지 않아도 보이는 시무룩함이랄까요 마치 출근 전 저의 모습처럼 싱싱하지 않고 어딘가 풀이 죽은 듯한 모습에 연민을 느껴 얼른 보내주자는 마음에 바로 요리를 해봤습니다 요즘 인별에서 많이 보이는 다이어트 음식 우삼겹찜으로요 원래대로라면 펼쳐져있는 고기를 사서 깻잎과 팽이버섯을 돌돌 말아 찌려고 했는데 귀찮아서 그냥 야채 다 때려넣었어요 참고부탁쓰 세척 후 자를 때까지만 해도 깻잎향이 강하지 않아 아쉬움이 많이 남았는데 완성된 요리를 먹으니 깻잎향이 의외로 잘 베여있었어요 그래서 별 하나 더했습니다 그래도 다음엔 좀 더 싱싱한 깻잎으로 받고 싶네요 다행히 양이 적어서 이틀 더 요리하면 다 먹을 수 있을 것 같아요 좋아해야할지 말아야할지 흑 야채값 후달달 일단 얼른 먹어야겠습니다 제 리뷰가 도움이 되셨다면 도움이 돼요 버튼 부탁드립니다,Two
